<0,agent7-0,noteItem7-4,read> 9.048070325724565E-4
<1,patient9-9,noteItem9-9agent9-0,read> 0.003091738490088718
<2,patient1-6,noteItem1-6,read> 0.001438166545020451
<3,nurse0-0,nursingItem0-3,read> 7.411566343532595E-4
<4,agent4-01,noteItem4-7agent4-0,read> 0.0016522286246145438
<5,patient4-1,HR4-1,addNote> 0.0010696340218868418
<6,patient4-6,noteItem4-6,read> 0.004011109829001184
<7,nurse3-3,nursingItem3-4,read> 4.992483240754353E-4
<8,patient0-1,HR0-1,addNote> 0.0010110155739912305
<9,patient1-5,noteItem1-5,read> 0.0014604110114525611
<10,doctor4-1,HRitem4-3-3,read> 6.525709648933673E-4
<11,agent8-1,HR8-4,addNote> 3.2100072648663403E-4
<12,patient8-8,noteItem8-8,read> 0.0019646189172470565
<13,nurse4-2,nursingItem4-8,read> 7.250937402285241E-4
<14,nurse1-1,nursingItem1-2,read> 0.0013167867239915127
<15,agent3-01,noteItem3-1,read> 0.0020585354935587666
<16,agent2-01,noteItem2-2,read> 8.726231055370458E-4
<17,patient6-7,noteItem6-7,read> 0.004218724849034212
<18,patient3-5,noteItem3-5,read> 0.003974035718281001
<19,nurse2-3,HR2-0,addItem> 1.49396387086564E-4
<20,agent1-1,noteItem1-4agent1-1,read> 0.0014186370389863295
<21,nurse1-3,HR1-9,addItem> 1.441160332117289E-4
<22,nurse2-3,nursingItem2-9,read> 5.008129168006915E-4
<23,patient0-5,noteItem0-5,read> 0.0016457815650534784
<24,nurse2-0,nursingItem2-1,read> 5.040364477042115E-4
<25,doctor4-1,HRitem3-4-3,read> 5.668637477728038E-4
<26,nurse2-3,HR2-1,addItem> 1.4975728424711536E-4
<27,nurse1-1,nursingItem1-7,read> 7.552941028450993E-4
<28,patient0-3,noteItem0-3,read> 0.0016754408536296251
<29,patient4-3,noteItem4-3,read> 0.004107502516873661
<30,nurse9-3,HR9-7,addItem> 1.2398491920473847E-4
<31,nurse2-3,HR2-2,addItem> 1.50479078568218E-4
<32,nurse2-3,HR2-3,addItem> 1.5083997572876934E-4
<33,patient5-6,noteItem5-6,read> 0.004196480382602103
<34,patient1-7,noteItem1-7,read> 0.0014307517228764144
<35,agent4-01,noteItem4-7,read> 0.00194022489871894
<36,agent3-0,noteItem3-1agent3-0,read> 0.0027156292763128656
<37,agent9-0,noteItem9-9agent9-0,read> 0.002798038222122702
