<0,agent7-0,noteItem7-4,read> 0.0013478832720819447
<1,patient9-9,noteItem9-9agent9-0,read> 0.00460573629782078
<2,patient1-6,noteItem1-6,read> 0.0021424243609045094
<3,nurse0-0,nursingItem0-3,read> 0.001104094678173618
<4,agent4-01,noteItem4-7agent4-0,read> 0.0024613108039636777
<5,patient4-1,HR4-1,addNote> 0.0015934246236481951
<6,patient4-6,noteItem4-6,read> 0.005975315892078033
<7,nurse3-3,nursingItem3-4,read> 7.437259442193129E-4
<8,patient0-1,HR0-1,addNote> 0.0015061012248354494
<9,patient1-5,noteItem1-5,read> 0.002175561751663935
<10,doctor4-1,HRitem4-3-3,read> 9.721293665516538E-4
<11,agent8-1,HR8-4,addNote> 4.7819202767175384E-4
<12,patient8-8,noteItem8-8,read> 0.002926675942210908
<13,nurse4-2,nursingItem4-8,read> 0.0010801659226351045
<14,nurse1-1,nursingItem1-2,read> 0.0019616058831037142
<15,agent3-01,noteItem3-1,read> 0.0030665826600243815
<16,agent2-01,noteItem2-2,read> 0.001299939152154404
<17,patient6-7,noteItem6-7,read> 0.006284598205832669
<18,patient3-5,noteItem3-5,read> 0.005920086907478992
<19,nurse2-3,HR2-0,addItem> 2.2255451584073883E-4
<20,agent1-1,noteItem1-4agent1-1,read> 0.0021133314233523163
<21,nurse1-3,HR1-9,addItem> 2.1468841798523463E-4
<22,nurse2-3,nursingItem2-9,read> 7.460567045760246E-4
<23,patient0-5,noteItem0-5,read> 0.0024517066746591455
<24,nurse2-0,nursingItem2-1,read> 7.508587709011955E-4
<25,doctor4-1,HRitem3-4-3,read> 8.444520606789767E-4
<26,nurse2-3,HR2-1,addItem> 2.23092141243877E-4
<27,nurse1-1,nursingItem1-7,read> 0.0011251551436692933
<28,patient0-3,noteItem0-3,read> 0.002495889862338379
<29,patient4-3,noteItem4-3,read> 0.006118911252035542
<30,nurse9-3,HR9-7,addItem> 1.8469927019838428E-4
<31,nurse2-3,HR2-2,addItem> 2.2416739205015332E-4
<32,nurse2-3,HR2-3,addItem> 2.247050174532915E-4
<33,patient5-6,noteItem5-6,read> 0.0062514608150732445
<34,patient1-7,noteItem1-7,read> 0.002131378563984701
<35,agent4-01,noteItem4-7,read> 0.0028903363821398244
<36,agent3-0,noteItem3-1agent3-0,read> 0.004045449629531908
<37,agent9-0,noteItem9-9agent9-0,read> 0.004168213528936161
<38,nurse2-3,HR2-8,addItem> 2.193287634219098E-4
<39,patient6-1,noteItem6-1,read> 0.0062404150181534345
<40,nurse5-0,nursingItem5-8,read> 0.0018687608761028369
<41,nurse5-2,nursingItem5-2,read> 0.001865429590345017
<42,nurse0-1,nursingItem0-8,read> 0.001123406598105659
<43,patient2-5,HR2-5,addNote> 0.002221061552614803
<44,agent1-01,HR1-7,addNote> 0.001659652147619449
<45,nurse2-3,HR2-9,addItem> 2.2147926503446251E-4
<46,nurse2-3,HR2-4,addItem> 2.2578026825956788E-4
<47,nurse2-3,HR2-5,addItem> 2.1879113801877165E-4
<48,nurse2-3,HR2-6,addItem> 2.1825351261563347E-4
<49,doctor7-1,HRitem8-0-0,read> 5.029537244894064E-4
<50,patient5-3,noteItem5-3,read> 0.006273552408912861
<51,patient9-3,HR9-3,addNote> 0.001959091356176566
<52,doctor5-1,HRitem1-7-3,read> 5.866257842209138E-4
<53,nurse2-3,HR2-7,addItem> 2.1986638882504796E-4
<54,doctor1-1,HRitem2-8-1,read> 2.4516372301405684E-4
<55,agent6-11,noteItem6-9agent6-1,read> 0.0012081408678400675
<56,patient8-7,HR8-7,addNote> 0.0014133201135969077
<57,patient3-9,noteItem3-9,read> 0.006074728064356309
<58,nurse1-0,nursingItem1-2,read> 0.001159199362492043
<59,agent8-0,HR8-4,addNote> 4.798847428139548E-4
<60,nurse8-2,HR8-4,addItem> 1.2869435407255583E-4
<61,patient3-8,noteItem3-8,read> 0.006107865455115734
<62,agent3-11,noteItem3-4,read> 0.00297242769222888
<63,patient3-4,noteItem3-4,read> 0.0059421785013186075
<64,patient1-1,noteItem1-1,read> 0.0020761495793856586
<65,patient0-2,noteItem0-2,read> 0.0024737982684987624
<66,nurse2-2,HR2-1,addItem> 2.2609674920675752E-4
<67,nurse2-2,HR2-2,addItem> 2.2718648150537422E-4
<68,patient0-1,noteItem0-1,read> 0.0022086991424233597
<69,agent4-1,HR4-3,addNote> 0.0010402395534298374
<70,doctor2-1,HRitem1-8-1,read> 9.090598540121386E-4
<71,nurse8-1,nursingItem8-8,read> 0.00179736248517024
<72,nurse1-0,HR1-9,addItem> 2.2523451571082506E-4
<73,nurse2-2,HR2-0,addItem> 2.2555188305744913E-4
<74,nurse2-2,HR2-9,addItem> 2.2446215075883235E-4
<75,nurse2-2,HR2-7,addItem> 2.2282755231090717E-4
<76,nurse2-2,HR2-8,addItem> 2.222826861615988E-4
<77,nurse2-2,HR2-5,addItem> 2.2173782001229045E-4
<78,patient0-4,noteItem0-4,read> 0.0024406608777393364
<79,nurse3-1,nursingItem3-2,read> 7.425435335153196E-4
<80,doctor7-0,HR0-8,addItem> 3.167698900158163E-4
<81,agent6-0,noteItem6-7agent6-0,read> 0.002401103762387654
<82,patient6-3,noteItem6-3,read> 0.006196231830474201
<83,nurse6-1,nursingItem6-3,read> 2.5169850930992417E-4
<84,nurse4-3,nursingItem4-1,read> 0.0010345761227924819
<85,patient9-6,HR9-6,addNote> 0.0018663102449380244
<86,nurse2-2,HR2-6,addItem> 2.2119295386298206E-4
<87,agent9-1,noteItem9-2,read> 0.0028016930329510478
<88,doctor3-1,HR3-4,addItem> 7.567061221213362E-4
<89,nurse0-0,HR0-8,addItem> 1.6040400210290688E-4
<90,nurse2-2,HR2-3,addItem> 2.277313476546826E-4
<91,patient5-0,noteItem5-0,read> 0.006361918784271328
<92,nurse2-2,HR2-4,addItem> 2.2882107995329944E-4
<93,patient1-3,noteItem1-3,read> 0.0019988290009469996
<94,nurse6-2,nursingItem6-3,read> 2.531245631870342E-4
<95,agent5-1,noteItem5-7,read> 0.003201288897007665
<96,agent1-11,noteItem1-4,read> 0.0010181478562150744
<97,nurse6-2,nursingItem6-2,read> 2.5160846897278694E-4
<98,nurse6-2,nursingItem6-1,read> 2.5009237475853973E-4
<99,nurse6-2,nursingItem6-0,read> 2.4857628054429247E-4
<100,nurse6-2,nursingItem6-7,read> 2.0612564254536878E-4
<101,nurse6-2,nursingItem6-6,read> 2.091578309738633E-4
<102,nurse9-2,nursingItem9-1,read> 9.569212995135134E-4
<103,patient2-6,noteItem2-6,read> 0.002241836533182785
<104,patient0-5,HR0-5,addNote> 0.0015388474993902293
<105,patient5-5,HR5-5,addNote> 0.002008210768008736
<106,nurse6-2,nursingItem6-5,read> 1.9854517147413242E-4
<107,patient9-2,noteItem9-2agent9-1,read> 0.006591145748161126
<108,nurse4-2,nursingItem4-4,read> 0.0010486154372680754
<109,patient0-0,noteItem0-0,read> 0.0022528823301025936
<110,nurse6-2,nursingItem6-4,read> 2.0309345411687423E-4
