<0,patient7-6,noteItem7-6,read> 0.0015754209047400213
<1,doctor1-0,HRitem7-6-0,read> 1.5333600356135153E-4
<2,agent3-11,HR3-2,addNote> 0.001006895963171338
<3,agent0-01,noteItem0-6agent0-0,read> 0.0031251056332907523
<4,doctor2-1,HRitem2-0-1,read> 2.692916013106573E-4
<5,patient3-8,noteItem3-8,read> 0.004744104400570461
<6,patient0-2,HR0-2,addNote> 0.0011503026340086507
<7,patient1-5,noteItem1-5,read> 0.0017038810464628774
<8,agent8-1,HR8-3,addNote> 7.389453707483542E-4
<9,doctor3-1,HRitem3-5-3,read> 7.758885069303708E-4
<10,nurse2-2,nursingItem2-3,read> 5.659731295593476E-4
<11,patient4-3,noteItem4-3,read> 0.004752668410018651
<12,agent5-0,HR5-0,addNote> 0.0010337103913602833
<13,nurse2-3,HR2-0,addItem> 1.6936925044589338E-4
<14,nurse2-3,HR2-1,addItem> 1.697754523056617E-4
<15,doctor8-0,HR8-6,addItem> 3.916847055106985E-4
<16,patient0-3,noteItem0-3,read> 0.0019522373204603986
<17,patient0-8,noteItem0-8,read> 0.001875161235426685
<18,agent6-11,noteItem6-2agent6-1,read> 0.0016052644179027616
<19,nurse4-0,HR4-1,addItem> 1.2230858996030043E-4
<20,agent9-11,noteItem9-2agent9-1,read> 0.0016053620740584928
<21,patient6-6,noteItem6-6,read> 0.004864000532845127
<22,patient4-5,noteItem4-5,read> 0.004701284353329511
<23,doctor3-0,HR3-4,addItem> 0.001114066812423524
<24,agent1-1,noteItem1-4agent1-1,read> 0.0016563456038450853
<25,nurse2-3,HR2-2,addItem> 1.705878560251983E-4
<26,nurse4-0,nursingItem4-3,read> 8.173274478696864E-4
<27,agent9-1,noteItem9-2agent9-1,read> 0.004695202325926982
<28,agent4-11,noteItem4-4agent4-1,read> 0.002538498241350875
<29,doctor5-0,HRitem9-3-3,read> 8.274613818166598E-4
<30,agent2-1,HR2-0,addNote> 0.0010234162278799318
<31,nurse5-1,nursingItem5-2,read> 8.106683833060621E-4
<32,nurse3-1,nursingItem3-6,read> 5.613767524564535E-4
<33,nurse2-3,HR2-3,addItem> 1.7099405788496662E-4
<34,doctor5-1,HR5-9,addItem> 2.951769182868094E-4
<35,nurse2-3,HR2-8,addItem> 1.6693203928728358E-4
<36,patient6-8,noteItem6-8,read> 0.00495820463677522
<37,nurse2-3,HR2-9,addItem> 1.685568467263568E-4
<38,agent5-1,noteItem5-7agent5-1,read> 0.001333755286818337
<39,nurse2-3,HR2-4,addItem> 1.7180646160450323E-4
<40,nurse2-3,HR2-5,addItem> 1.6652583742751527E-4
<41,nurse2-3,HR2-6,addItem> 1.6611963556774692E-4
<42,nurse2-3,HR2-7,addItem> 1.6733824114705185E-4
<43,agent4-0,noteItem4-0,read> 0.00244544402706616
<44,patient9-5,noteItem9-5,read> 0.003091250577069719
<45,patient1-6,noteItem1-6,read> 0.001678189018118306
<46,agent8-0,HR8-9,addNote> 7.145742744657454E-4
<47,patient6-9,noteItem6-9,read> 0.004975332655671602
<48,patient8-6,noteItem8-6,read> 0.002243413641698871
<49,doctor8-0,HR4-6,addItem> 5.121677221650164E-4
<50,patient5-1,noteItem5-1,read> 0.004906820580086078
<51,patient0-2,noteItem0-2,read> 0.0019351093015640174
<52,nurse8-3,nursingItem8-2,read> 6.677337830294268E-4
<53,nurse2-2,HR2-1,addItem> 1.7206199038385242E-4
<54,nurse2-2,HR2-2,addItem> 1.7288533556762518E-4
<55,nurse2-2,HR2-0,addItem> 1.71650317791966E-4
<56,patient2-3,noteItem2-3,read> 0.0018237771787375425
<57,doctor0-0,HRitem6-0-3,read> 2.976673034393284E-4
<58,nurse2-2,HR2-9,addItem> 1.7082697260819324E-4
<59,nurse2-2,HR2-7,addItem> 1.69591954832534E-4
