<0,patient6-2,noteItem6-2,read> 0.0031101023035816962
<1,doctor5-1,HRitem8-6-1,read> 8.878349527801084E-5
<2,patient6-6,noteItem6-6,read> 0.0031542988576700455
<3,nurse5-3,nursingItem5-3,read> 9.121228336149258E-4
<4,patient3-8,noteItem3-8,read> 0.003076954888015435
<5,patient7-4,noteItem7-4,read> 9.720939995578052E-4
<6,patient4-2,noteItem4-2,read> 0.003099053165059609
<7,patient1-5,noteItem1-5,read> 0.0010881099540397219
<8,doctor4-1,HRitem4-3-3,read> 4.7867263376514125E-4
<9,agent5-0,noteItem5-3agent5-0,read> 4.1140801307704497E-4
<10,patient2-8,noteItem2-8,read> 0.0010936345233007654
<11,patient9-9,noteItem9-9agent9-0,read> 0.0023183473766764423
<12,agent4-0,noteItem4-3agent4-0,read> 0.0022798835367437496
<13,nurse3-3,nursingItem3-1,read> 3.708844203424627E-4
<14,agent8-1,HR8-4,addNote> 4.736029462529791E-4
<15,patient5-0,noteItem5-0,read> 0.0032040199810194387
<16,patient9-5,noteItem9-5,read> 0.001988614743589836
<17,nurse5-1,nursingItem5-5,read> 5.291288373407964E-4
<18,agent1-0,noteItem1-4agent1-0,read> 9.36262203091188E-4
<19,nurse3-0,nursingItem3-2,read> 3.563043037629364E-4
<20,doctor8-1,HR8-4,addItem> 3.5760730871980056E-4
<21,patient4-0,noteItem4-0,read> 0.003038282903188129
<22,agent3-0,HR3-6,addNote> 6.505849639017289E-4
<23,nurse4-1,nursingItem4-9,read> 5.34713622515686E-4
<24,nurse2-3,HR2-0,addItem> 1.0911499682108536E-4
<25,patient3-1,HR3-1,addNote> 0.0010091528331175222
<26,nurse4-0,nursingItem4-0,read> 8.985157221602686E-4
<27,doctor7-0,HRitem7-4-3,read> 1.3059284277089066E-4
<28,patient7-0,HR7-0,addNote> 8.813305061520043E-4
<29,nurse2-3,HR2-1,addItem> 1.093773187607534E-4
<30,doctor3-0,HRitem4-3-1,read> 4.8320295642450243E-4
<31,doctor8-0,HR4-4,addItem> 1.0794412624411872E-4
<32,nurse9-3,nursingItem9-9,read> 8.263132202748945E-4
<33,patient3-7,noteItem3-7,read> 0.0030935285957985653
<34,patient4-7,noteItem4-7,read> 0.0029996109183608234
<35,patient0-3,noteItem0-3,read> 0.0012538470318710312
<36,nurse1-1,nursingItem1-2,read> 9.61414986850345E-4
<37,agent4-01,noteItem4-3,read> 0.0014997066066711414
<38,nurse3-2,nursingItem3-0,read> 3.62102948955593E-4
<39,agent6-1,noteItem6-1,read> 0.001803162727762678
<40,nurse1-2,HR1-1,addItem> 1.128538426633833E-4
<41,nurse5-0,nursingItem5-4,read> 5.172565368233765E-4
<42,patient8-3,HR8-3,addNote> 7.05574806574417E-4
<43,patient3-0,noteItem3-0,read> 0.0030272337646660413
<44,agent1-1,noteItem1-2,read> 4.973131361371049E-4
<45,patient3-3,noteItem3-3,read> 0.003005135487621867
<46,nurse2-3,nursingItem2-0,read> 6.326760446996303E-4
<47,nurse2-3,HR2-2,addItem> 1.0990196264008948E-4
<48,patient2-2,HR2-2,addNote> 0.0011156714389221204
<49,nurse2-3,HR2-3,addItem> 1.1016428457975753E-4
<50,nurse2-3,HR2-8,addItem> 1.0754106518307712E-4
<51,nurse2-3,HR2-9,addItem> 1.0859035294174929E-4
<52,agent1-11,noteItem1-2agent1-1,read> 7.294577808793291E-4
<53,nurse2-3,HR2-4,addItem> 1.1068892845909359E-4
<54,patient1-7,noteItem1-7,read> 0.001066011676995547
<55,nurse2-3,HR2-5,addItem> 1.0727874324340908E-4
<56,nurse1-2,nursingItem1-0,read> 5.345063874512947E-4
<57,doctor2-1,HRitem1-3-2,read> 5.254859679118734E-4
<58,patient2-7,noteItem2-7,read> 0.001110208231083896
<59,agent6-0,noteItem6-7agent6-0,read> 0.0012064226754050483
<60,patient7-9,noteItem7-9,read> 0.0010825853847786777
<61,nurse9-3,nursingItem9-3,read> 8.020833425535035E-4
<62,doctor0-0,HR2-2,addItem> 4.0596154340047266E-4
<63,nurse2-3,HR2-6,addItem> 1.0701642130374105E-4
<64,nurse2-3,HR2-7,addItem> 1.0780338712274515E-4
<65,nurse4-3,nursingItem4-8,read> 5.255117967083027E-4
<66,patient8-7,HR8-7,addNote> 6.922599808488423E-4
<67,doctor2-0,HR0-3,addItem> 3.276336170500781E-4
<68,patient1-6,noteItem1-6,read> 0.0010715362462565907
<69,patient6-1,noteItem6-1agent6-1,read> 0.002184010517149809
<70,agent8-0,HR8-8,addNote> 4.579296939416372E-4
<71,patient0-2,noteItem0-2,read> 0.0012427978933489436
<72,patient4-5,HR4-5,addNote> 7.561711443316011E-4
<73,nurse0-3,HR0-4,addItem> 7.6700375725054E-5
<74,patient2-5,HR2-5,addNote> 0.0010890417874709706
<75,nurse2-2,HR2-1,addItem> 1.1085041396291841E-4
<76,nurse5-1,nursingItem5-8,read> 9.189707338612082E-4
<77,nurse2-2,HR2-2,addItem> 1.1138212375308731E-4
<78,patient6-7,noteItem6-7agent6-0,read> 0.001721294667669185
<79,doctor0-0,HRitem3-0-0,read> 3.4799376418652737E-4
<80,nurse4-2,nursingItem4-5,read> 5.148519439171357E-4
<81,agent2-0,noteItem2-1agent2-0,read> 0.0014993726552505805
<82,nurse2-2,HR2-0,addItem> 1.1058455906783398E-4
<83,nurse2-2,HR2-9,addItem> 1.100528492776651E-4
<84,nurse2-2,HR2-7,addItem> 1.0925528459241175E-4
<85,nurse2-2,HR2-8,addItem> 1.0898942969732732E-4
<86,nurse8-1,nursingItem8-1,read> 9.014108175200578E-4
<87,patient9-3,HR9-3,addNote> 9.612194605054528E-4
<88,nurse2-2,HR2-5,addItem> 1.0872357480224285E-4
<89,nurse2-2,HR2-6,addItem> 1.0845771990715842E-4
<90,patient5-3,noteItem5-3agent5-0,read> 6.167471560057601E-4
<91,doctor5-0,HR6-8,addItem> 4.4497376146423536E-5
<92,nurse4-2,nursingItem4-6,read> 9.261982851775789E-4
<93,nurse2-2,HR2-3,addItem> 1.1164797864817176E-4
<94,patient5-0,HR5-0,addNote> 0.0010304565542784416
<95,nurse2-2,HR2-4,addItem> 1.1217968843834065E-4
<96,patient2-3,HR2-3,addNote> 0.0011183344040672353
<97,doctor4-0,HR1-5,addItem> 2.2130831468352308E-4
<98,patient9-8,noteItem9-8,read> 0.0019996638821119235
<99,nurse8-2,nursingItem8-3,read> 4.3703618755163733E-4
<100,agent2-01,noteItem2-1,read> 6.576776336775019E-4
<101,doctor4-0,HR1-4,addItem> 2.2078997765293806E-4
<102,patient1-3,noteItem1-3,read> 9.997168458630234E-4
<103,nurse4-3,nursingItem4-0,read> 5.057765521839921E-4
<104,doctor4-0,HR1-3,addItem> 2.2027164062235304E-4
<105,doctor4-0,HR1-2,addItem> 2.1975330359176807E-4
<106,nurse6-2,nursingItem6-3,read> 1.2392465244016402E-4
<107,nurse6-2,nursingItem6-2,read> 1.2318240346123615E-4
<108,agent9-1,noteItem9-0,read> 0.0014082219443729994
<109,nurse5-1,nursingItem5-9,read> 9.176835848905243E-4
<110,doctor4-0,HR1-8,addItem> 2.1042323704123796E-4
<111,nurse6-2,nursingItem6-1,read> 2.1302372725206037E-4
<112,doctor4-0,HR1-7,addItem> 2.0731321485772792E-4
<113,patient3-6,noteItem3-6,read> 0.002971988072055605
<114,patient1-7,HR1-7,addNote> 0.0010650751011649362
<115,nurse6-2,nursingItem6-0,read> 1.2169790550338047E-4
<116,nurse1-3,HR1-5,addItem> 1.1154489522329311E-4
<117,patient5-6,noteItem5-6,read> 0.0031487742884090016
<118,doctor4-0,HR1-6,addItem> 2.0783155188831292E-4
<119,nurse6-2,nursingItem6-7,read> 1.016571830723282E-4
<120,nurse6-2,nursingItem6-6,read> 1.0314168103018395E-4
<121,patient8-3,noteItem8-3,read> 0.001502452648617995
<122,nurse6-2,nursingItem6-5,read> 9.794593817768892E-5
<123,patient0-6,HR0-6,addNote> 7.588341094767162E-4
<124,patient4-2,HR4-2,addNote> 7.748119003474058E-4
<125,patient1-6,HR1-6,addNote> 0.0010677380663100511
<126,patient6-9,noteItem6-9,read> 0.003220593688802569
<127,doctor4-0,HR4-4,addItem> 1.0480963256007899E-4
<128,agent7-1,noteItem7-8agent7-1,read> 1.5876252791100306E-4
<129,patient7-4,HR7-4,addNote> 8.91982366732464E-4
<130,nurse6-2,nursingItem6-4,read> 1.0017268511447251E-4
<131,doctor4-0,HR1-1,addItem> 2.2234498874469305E-4
<132,patient2-1,noteItem2-1,read> 0.0011820276314774636
<133,nurse6-0,nursingItem6-4,read> 9.904397880332353E-5
<134,doctor2-0,HR5-1,addItem> 7.231836635964896E-4
<135,doctor4-0,HR1-0,addItem> 2.218266517141081E-4
<136,nurse6-2,nursingItem6-9,read> 1.0462617898803965E-4
<137,nurse9-2,nursingItem9-2,read> 4.721900513137351E-4
<138,nurse9-0,nursingItem9-2,read> 4.856172565643627E-4
<139,nurse0-0,nursingItem0-5,read> 5.42027453441278E-4
<140,nurse6-2,nursingItem6-8,read> 1.061106769458954E-4
<141,agent3-11,noteItem3-0,read> 0.0015174749598202196
<142,nurse8-1,HR8-5,addItem> 7.943404818522599E-5
<143,nurse8-1,HR8-4,addItem> 7.766201054949051E-5
<144,nurse8-1,HR8-3,addItem> 7.825268976140234E-5
<145,nurse4-2,nursingItem4-8,read> 5.288273285487337E-4
<146,patient9-1,HR9-1,addNote> 9.505675999249931E-4
<147,agent4-01,HR4-3,addNote> 4.808322317975535E-4
<148,nurse8-1,HR8-2,addItem> 8.091074621500555E-5
