<0,patient7-6,noteItem7-6,read> 0.0017423173441323012
<1,doctor1-0,HRitem7-6-0,read> 1.6958006440124154E-4
<2,agent3-11,HR3-2,addNote> 0.001113564187889029
<3,agent0-01,noteItem0-6agent0-0,read> 0.0034561720812169667
<4,doctor2-1,HRitem2-0-1,read> 2.9781972943297057E-4
<5,patient3-8,noteItem3-8,read> 0.005246683825648685
<6,patient0-2,HR0-2,addNote> 0.001272163029070049
<7,patient1-5,noteItem1-5,read> 0.0018843862555451279
<8,agent8-1,HR8-3,addNote> 8.172275307173183E-4
<9,doctor3-1,HRitem3-5-3,read> 8.580843371256291E-4
<10,nurse2-2,nursingItem2-3,read> 6.259310111838448E-4
<11,patient4-3,noteItem4-3,read> 0.00525615508640954
<12,agent5-0,HR5-0,addNote> 0.0011432192744541645
<13,nurse2-3,HR2-0,addItem> 1.873118363014642E-4
<14,nurse2-3,HR2-1,addItem> 1.8776107024482736E-4
<15,doctor8-0,HR8-6,addItem> 4.331788754290143E-4
<16,patient0-3,noteItem0-3,read> 0.002159052817609926
<17,patient0-8,noteItem0-8,read> 0.00207381147076223
<18,agent6-11,noteItem6-2agent6-1,read> 0.001775322409913032
<19,nurse4-0,HR4-1,addItem> 1.352656785136182E-4
<20,agent9-11,noteItem9-2agent9-1,read> 0.0017754304115355697
<21,patient6-6,noteItem6-6,read> 0.005379281476300657
<22,patient4-5,noteItem4-5,read> 0.0051993275218444115
<23,doctor3-0,HR3-4,addItem> 0.001232088468527723
<24,agent1-1,noteItem1-4agent1-1,read> 0.0018318150183063708
<25,nurse2-3,HR2-2,addItem> 1.8865953813155368E-4
<26,nurse4-0,nursingItem4-3,read> 9.039132234275778E-4
<27,agent9-1,noteItem9-2agent9-1,read> 0.005192601178554798
<28,agent4-11,noteItem4-4agent4-1,read> 0.0028074208617187564
<29,doctor5-0,HRitem9-3-3,read> 9.151207228500999E-4
<30,agent2-1,HR2-0,addNote> 0.0011318345711528524
<31,nurse5-1,nursingItem5-2,read> 8.965487129973864E-4
<32,nurse3-1,nursingItem3-6,read> 6.208477045434099E-4
<33,nurse2-3,HR2-3,addItem> 1.8910877207491684E-4
<34,doctor5-1,HR5-9,addItem> 3.264472768967734E-4
<35,nurse2-3,HR2-8,addItem> 1.846164326412853E-4
<36,patient6-8,noteItem6-8,read> 0.005483465344670062
<37,nurse2-3,HR2-9,addItem> 1.8641336841473792E-4
<38,agent5-1,noteItem5-7agent5-1,read> 0.001475050230741493
<39,nurse2-3,HR2-4,addItem> 1.9000723996164318E-4
<40,nurse2-3,HR2-5,addItem> 1.841671986979221E-4
<41,nurse2-3,HR2-6,addItem> 1.8371796475455892E-4
<42,nurse2-3,HR2-7,addItem> 1.850656665846484E-4
<43,agent4-0,noteItem4-0,read> 0.002704508699638733
<44,patient9-5,noteItem9-5,read> 0.0034187304988036534
<45,patient1-6,noteItem1-6,read> 0.0018559724732625624
<46,agent8-0,HR8-9,addNote> 7.902746169779169E-4
<47,patient6-9,noteItem6-9,read> 0.005502407866191774
<48,patient8-6,noteItem8-6,read> 0.0024810756834789983
<49,doctor8-0,HR4-6,addItem> 5.664255836316328E-4
<50,patient5-1,noteItem5-1,read> 0.005426637780104933
<51,patient0-2,noteItem0-2,read> 0.0021401102960882153
<52,nurse8-3,nursingItem8-2,read> 7.384719524381531E-4
<53,nurse2-2,HR2-1,addItem> 1.9028983886765333E-4
<54,nurse2-2,HR2-2,addItem> 1.9120040733197862E-4
<55,nurse2-2,HR2-0,addItem> 1.8983455463549064E-4
<56,patient2-3,noteItem2-3,read> 0.002016983906197099
<57,doctor0-0,HRitem6-0-3,read> 3.292014876805382E-4
<58,nurse2-2,HR2-9,addItem> 1.8892398617116534E-4
<59,nurse2-2,HR2-7,addItem> 1.8755813347467732E-4
<60,nurse2-2,HR2-8,addItem> 1.871028492425147E-4
<61,nurse8-1,nursingItem8-1,read> 0.0015460304059626202
<62,patient9-6,noteItem9-6,read> 0.0033997879772819425
<63,nurse2-2,HR2-5,addItem> 1.8664756501035203E-4
<64,nurse1-1,nursingItem1-3,read> 9.55478820042492E-4
<65,nurse3-1,nursingItem3-8,read> 6.566197749758177E-4
<66,nurse5-1,nursingItem5-0,read> 8.978168905839919E-4
<67,agent4-11,noteItem4-4,read> 0.002578513773499852
<68,nurse9-2,nursingItem9-7,read> 0.001417254055044906
<69,nurse2-2,HR2-6,addItem> 1.8619228077818934E-4
<70,nurse2-2,HR2-3,addItem> 1.9165569156414131E-4
<71,nurse2-2,HR2-4,addItem> 1.9256626002846664E-4
<72,patient1-3,noteItem1-3,read> 0.0017233748226105914
<73,doctor4-0,HR1-2,addItem> 2.1600426445154047E-4
<74,nurse6-2,nursingItem6-3,read> 3.725645782989218E-4
<75,patient6-2,noteItem6-2,read> 0.0053035113902138165
<76,nurse6-2,nursingItem6-2,read> 2.1294638350589687E-4
<77,nurse8-0,nursingItem8-9,read> 9.047158340142424E-4
<78,doctor4-0,HR1-8,addItem> 2.0685495155389706E-4
<79,nurse6-2,nursingItem6-1,read> 2.1167093723583407E-4
<80,nurse0-0,nursingItem0-5,read> 0.0016195632215500412
<81,nurse0-2,nursingItem0-3,read> 0.0016031792755018804
<82,doctor4-0,HR1-7,addItem> 2.0380518058801586E-4
<83,doctor4-0,HR5-5,addItem> 4.2663249464574426E-4
<84,patient4-9,HR4-9,addNote> 0.0012676026238874231
<85,nurse2-0,nursingItem2-1,read> 0.0010945268511817743
<86,doctor2-1,HR2-9,addItem> 3.886353575437375E-4
<87,doctor3-0,HR3-3,addItem> 5.077280630110593E-4
<88,doctor3-0,HRitem3-4-1,read> 7.206784987894044E-4
<89,nurse6-2,nursingItem6-0,read> 3.659099889569415E-4
<90,patient9-7,HR9-7,addNote> 0.0015868309866712443
<91,patient3-0,noteItem3-0,read> 0.00516144247880099
<92,agent8-0,noteItem8-9,read> 0.001307430353476532
<93,doctor6-0,HR2-9,addItem> 3.9294554635198596E-4
<94,patient6-1,noteItem6-1,read> 0.005360338954778948
<95,doctor3-1,HR3-0,addItem> 5.176441187534181E-4
<96,nurse1-3,HR1-2,addItem> 1.9012906125095787E-4
<97,nurse8-1,nursingItem8-4,read> 9.196299927946818E-4
<98,nurse5-2,nursingItem5-7,read> 9.119503315666964E-4
<99,doctor9-1,HR2-9,addItem> 1.458280546790734E-4
<100,nurse9-0,nursingItem9-2,read> 0.001433646765329569
<101,nurse8-0,nursingItem8-3,read> 9.18743342261766E-4
<102,doctor4-0,HR1-6,addItem> 2.043134757489961E-4
<103,nurse6-2,nursingItem6-7,read> 1.7595844167407647E-4
<104,nurse5-3,nursingItem5-4,read> 9.030948373997442E-4
<105,patient5-9,HR5-9,addNote> 0.0017099619266021467
<106,doctor9-1,HRitem2-0-1,read> 1.1175121085932167E-4
<107,nurse6-2,nursingItem6-6,read> 1.7850933421420203E-4
<108,patient2-5,noteItem2-5,read> 0.001969627602392824
<109,nurse0-0,nursingItem0-8,read> 0.0016328754599142863
<110,doctor0-0,HR0-5,addItem> 4.5430617980441303E-4
<111,nurse6-2,nursingItem6-5,read> 2.9492770264248554E-4
<112,agent7-1,noteItem7-8agent7-1,read> 4.8680263148372343E-4
<113,patient9-9,HR9-9,addNote> 0.0016005122022191222
<114,nurse6-2,nursingItem6-4,read> 1.7340754913395092E-4
<115,patient9-1,noteItem9-1,read> 0.0033524316734776668
<116,nurse4-3,nursingItem4-4,read> 0.0015324406199576997
<117,nurse6-2,nursingItem6-9,read> 3.148914706684263E-4
<118,nurse6-2,nursingItem6-8,read> 1.836111192944531E-4
<119,doctor0-0,HR6-1,addItem> 1.3710469487513024E-4
<120,nurse8-1,HR8-5,addItem> 1.3603311544854314E-4
<121,nurse7-3,HR7-8,addItem> 1.611529455589241E-4
<122,patient3-2,noteItem3-2,read> 0.00514249995727928
<123,nurse8-1,HR8-4,addItem> 1.3299844951134864E-4
<124,doctor9-0,HR9-5,addItem> 3.201922550903378E-4
<125,patient9-3,noteItem9-3,read> 0.003380845455760233
<126,patient6-0,noteItem6-0,read> 0.0053413964332572365
<127,doctor1-1,HRitem1-1-3,read> 6.843826169647415E-4
<128,nurse8-1,HR8-3,addItem> 1.3401000482374684E-4
<129,patient3-4,noteItem3-4,read> 0.00510461491423586
<130,nurse8-1,HR8-2,addItem> 1.3856200372953855E-4
<131,nurse3-2,nursingItem3-0,read> 6.196810443572215E-4
<132,nurse8-1,HR8-9,addItem> 1.3198689419895051E-4
<133,patient8-9,noteItem8-9,read> 0.0025379032480441293
<134,nurse9-2,nursingItem9-3,read> 7.986709812893279E-4
<135,doctor1-1,HRitem1-5-1,read> 7.660483510702336E-4
<136,agent3-01,HR3-7,addNote> 0.001159339329267542
<137,patient4-7,noteItem4-7,read> 0.005114086174996715
<138,patient2-4,noteItem2-4,read> 0.0019885701239145343
<139,agent1-11,noteItem1-4agent1-1,read> 0.001630992773468064
<140,patient1-4,HR1-4,addNote> 0.0019471029960986997
<141,nurse2-3,nursingItem2-5,read> 0.0010867407887422517
<142,nurse8-1,HR8-8,addItem> 1.3097533888655236E-4
<143,nurse2-2,nursingItem2-7,read> 0.0010995175450424317
<144,agent2-11,HR2-0,addNote> 0.0013401140564013188
<145,patient2-0,HR2-0,addNote> 0.0019014989442724395
<146,agent4-1,noteItem4-4agent4-1,read> 0.003499445760425792
<147,patient0-6,noteItem0-6agent0-0,read> 0.0060548871597420435
<148,nurse5-2,HR5-4,addItem> 1.7011832564619398E-4
<149,patient0-1,noteItem0-1,read> 0.0019128000378276933
<150,nurse2-1,HR2-0,addItem> 1.910959138025039E-4
<151,nurse8-1,HR8-7,addItem> 1.3148111654275147E-4
<152,nurse2-1,HR2-1,addItem> 1.915542231790663E-4
<153,nurse2-0,HR2-9,addItem> 1.914346039275928E-4
<154,patient2-6,HR2-6,addNote> 0.001865015702811431
<155,nurse8-1,HR8-6,addItem> 1.3502156013614497E-4
<156,nurse2-1,HR2-2,addItem> 1.9247084193219115E-4
<157,patient1-8,noteItem1-8,read> 0.0018086161694582871
<158,nurse2-1,HR2-3,addItem> 1.9292915130875355E-4
<159,patient3-2,HR3-2,addNote> 0.0017236431421500248
<160,nurse2-1,HR2-4,addItem> 1.938457700618784E-4
<161,nurse2-1,HR2-5,addItem> 1.87887748166567E-4
<162,agent8-11,noteItem8-3agent8-1,read> 0.0021581498646146527
<163,nurse2-1,HR2-6,addItem> 1.8742943879000455E-4
<164,patient8-3,noteItem8-3,read> 0.0025757882910875493
<165,nurse8-1,HR8-1,addItem> 1.3957355904193664E-4
<166,nurse2-1,HR2-7,addItem> 1.8880436691969178E-4
