<0,agent7-0,noteItem7-4,read> 0.0011602935372628618
<1,patient9-9,noteItem9-9agent9-0,read> 0.0039647395077795295
<2,patient1-6,noteItem1-6,read> 0.0018442555015853721
<3,nurse0-0,nursingItem0-3,read> 9.504338737229208E-4
<4,agent4-01,noteItem4-7agent4-0,read> 0.00211876137807035
<5,patient4-1,HR4-1,addNote> 0.0013716620209098555
<6,patient4-6,noteItem4-6,read> 0.005143709812477526
<7,nurse3-3,nursingItem3-4,read> 6.402189451015948E-4
<8,patient0-1,HR0-1,addNote> 0.0012964917317662295
<9,patient1-5,noteItem1-5,read> 0.0018727810431780998
<10,doctor4-1,HRitem4-3-3,read> 8.368346464090174E-4
<11,agent8-1,HR8-4,addNote> 4.116403332323779E-4
<12,patient8-8,noteItem8-8,read> 0.002519359985946591
<13,nurse4-2,nursingItem4-8,read> 9.298353686586098E-4
<14,nurse1-1,nursingItem1-2,read> 0.0016886021779218851
<15,agent3-01,noteItem3-1,read> 0.0026397953855549655
<16,agent2-01,noteItem2-2,read> 0.0011190219719471534
<17,patient6-7,noteItem6-7,read> 0.005409948200676316
<18,patient3-5,noteItem3-5,read> 0.005096167243156314
<19,nurse2-3,HR2-0,addItem> 1.915808080471344E-4
<20,agent1-1,noteItem1-4agent1-1,read> 0.0018192115321846228
<21,nurse1-3,HR1-9,addItem> 1.848094631582545E-4
<22,nurse2-3,nursingItem2-9,read> 6.422253252049875E-4
<23,patient0-5,noteItem0-5,read> 0.0021104938897841623
<24,nurse2-0,nursingItem2-1,read> 6.463590707881618E-4
<25,doctor4-1,HRitem3-4-3,read> 7.269266477509597E-4
<26,nurse2-3,HR2-1,addItem> 1.9204361020044402E-4
<27,nurse1-1,nursingItem1-7,read> 9.685632789262624E-4
<28,patient0-3,noteItem0-3,read> 0.0021485279452411327
<29,patient4-3,noteItem4-3,read> 0.005267320492712678
<30,nurse9-3,HR9-7,addItem> 1.5899401230592885E-4
<31,nurse2-3,HR2-2,addItem> 1.929692145070633E-4
<32,nurse2-3,HR2-3,addItem> 1.9343201666037292E-4
<33,patient5-6,noteItem5-6,read> 0.005381422659083589
<34,patient1-7,noteItem1-7,read> 0.0018347469877211297
<35,agent4-01,noteItem4-7,read> 0.0024880779323958216
<36,agent3-0,noteItem3-1agent3-0,read> 0.003482429938623754
<37,agent9-0,noteItem9-9agent9-0,read> 0.003588108347161257
<38,nurse2-3,HR2-8,addItem> 1.888039951272766E-4
<39,patient6-1,noteItem6-1,read> 0.005371914145219345
<40,nurse5-0,nursingItem5-8,read> 0.001608678742546174
<41,nurse5-2,nursingItem5-2,read> 0.0016058110837394854
<42,nurse0-1,nursingItem0-8,read> 9.670580847012751E-4
<43,patient2-5,HR2-5,addNote> 0.0019119484741296647
<44,agent1-01,HR1-7,addNote> 0.0014286724235495992
<45,nurse2-3,HR2-9,addItem> 1.9065520374051515E-4
<46,nurse2-3,HR2-4,addItem> 1.9435762096699222E-4
<47,nurse2-3,HR2-5,addItem> 1.8834119297396698E-4
<48,nurse2-3,HR2-6,addItem> 1.8787839082065732E-4
<49,doctor7-1,HRitem8-0-0,read> 4.329558561595279E-4
<50,patient5-3,noteItem5-3,read> 0.005400439686812074
<51,patient9-3,HR9-3,addNote> 0.0016864376066987874
<52,doctor5-1,HRitem1-7-3,read> 5.04982976138533E-4
<53,nurse2-3,HR2-7,addItem> 1.892667972805862E-4
<54,doctor1-1,HRitem2-8-1,read> 2.1104341101075598E-4
<55,agent6-11,noteItem6-9agent6-1,read> 0.0010399995831187623
<56,patient8-7,HR8-7,addNote> 0.0012166232995511276
<57,patient3-9,noteItem3-9,read> 0.005229286437255709
<58,nurse1-0,nursingItem1-2,read> 9.978694420780501E-4
<59,agent8-0,HR8-4,addNote> 4.1309746715532437E-4
<60,nurse8-2,HR8-4,addItem> 1.1078350062313622E-4
<61,patient3-8,noteItem3-8,read> 0.005257811978848436
<62,agent3-11,noteItem3-4,read> 0.002558744301312656
<63,patient3-4,noteItem3-4,read> 0.005115184270884798
<64,patient1-1,noteItem1-1,read> 0.0017872044183999166
<65,patient0-2,noteItem0-2,read> 0.0021295109175126477
<66,nurse2-2,HR2-1,addItem> 1.9463005612906954E-4
<67,nurse2-2,HR2-2,addItem> 1.9556812648695637E-4
<68,patient0-1,noteItem0-1,read> 0.001901306584770827
<69,agent4-1,HR4-3,addNote> 8.954656950267924E-4
<70,doctor2-1,HRitem1-8-1,read> 7.825427434574467E-4
<71,nurse8-1,nursingItem8-8,read> 0.0015472171209903996
<72,nurse1-0,HR1-9,addItem> 1.9388782275199328E-4
<73,nurse2-2,HR2-0,addItem> 1.9416102095012611E-4
<74,nurse2-2,HR2-9,addItem> 1.9322295059223923E-4
<75,nurse2-2,HR2-7,addItem> 1.9181584505540891E-4
<76,nurse2-2,HR2-8,addItem> 1.9134680987646549E-4
<77,nurse2-2,HR2-5,addItem> 1.9087777469752206E-4
<78,patient0-4,noteItem0-4,read> 0.0021009853759199194
<79,nurse3-1,nursingItem3-2,read> 6.392010947234126E-4
<80,doctor7-0,HR0-8,addItem> 2.7268389169716935E-4
<81,agent6-0,noteItem6-7agent6-0,read> 0.0020669335657624833
<82,patient6-3,noteItem6-3,read> 0.0053338800897623755
<83,nurse6-1,nursingItem6-3,read> 2.1666872773033895E-4
<84,nurse4-3,nursingItem4-1,read> 8.905904642828793E-4
<85,patient9-6,HR9-6,addNote> 0.0016065691744836853
<86,nurse2-2,HR2-6,addItem> 1.904087395185786E-4
<87,agent9-1,noteItem9-2,read> 0.0024117713950899565
<88,doctor3-1,HR3-4,addItem> 6.513926252296794E-4
<89,nurse0-0,HR0-8,addItem> 1.3808000354780455E-4
<90,nurse2-2,HR2-3,addItem> 1.9603716166589983E-4
<91,patient5-0,noteItem5-0,read> 0.005476507797726014
<92,nurse2-2,HR2-4,addItem> 1.9697523202378674E-4
<93,patient1-3,noteItem1-3,read> 0.001720644821350219
<94,nurse6-2,nursingItem6-3,read> 2.1789631259000092E-4
<95,agent5-1,noteItem5-7,read> 0.002755754073846485
<96,agent1-11,noteItem1-4,read> 8.764485783102501E-4
<97,nurse6-2,nursingItem6-2,read> 2.1659121862889288E-4
<98,nurse6-2,nursingItem6-1,read> 2.1528612466778483E-4
<99,nurse6-2,nursingItem6-0,read> 2.1398103070667678E-4
<100,nurse6-2,nursingItem6-7,read> 1.7743839979565088E-4
<101,nurse6-2,nursingItem6-6,read> 1.80048587717867E-4
<102,nurse9-2,nursingItem9-1,read> 8.237431404425112E-4
<103,patient2-6,noteItem2-6,read> 0.0019298321263635542
<104,patient0-5,HR0-5,addNote> 0.0013246805901950894
<105,patient5-5,HR5-5,addNote> 0.001728720894342077
<106,nurse6-2,nursingItem6-5,read> 1.7091292999011056E-4
<107,patient9-2,noteItem9-2agent9-1,read> 0.005673832425367472
<108,nurse4-2,nursingItem4-4,read> 9.026758771602652E-4
<109,patient0-0,noteItem0-0,read> 0.001939340640227797
<110,nurse6-2,nursingItem6-4,read> 1.7482821187343476E-4
<111,nurse5-0,nursingItem5-4,read> 0.00158840009601043
<112,agent6-01,noteItem6-7agent6-0,read> 0.0015563130663264785
<113,patient3-0,noteItem3-0,read> 0.005172235354070253
<114,patient8-2,noteItem8-2,read> 0.0025573940414035613
<115,nurse1-0,HR1-7,addItem> 1.924371396762224E-4
<116,patient9-7,noteItem9-7,read> 0.003451194344642357
<117,nurse5-3,nursingItem5-6,read> 0.0016293428102563596
<118,patient3-6,noteItem3-6,read> 0.005077150215427828
<119,patient2-7,noteItem2-7agent2-1,read> 0.005947287292181542
<120,agent4-0,noteItem4-7,read> 0.002670249341704186
<121,nurse6-2,nursingItem6-9,read> 1.8265877564008318E-4
<122,doctor9-1,HRitem0-4-0,read> 6.276121911322327E-4
<123,patient3-3,HR3-3,addNote> 0.00175221160969946
<124,nurse6-2,nursingItem6-8,read> 1.8526896356229927E-4
<125,nurse8-1,HR8-5,addItem> 1.396206691174146E-4
<126,patient3-2,HR3-2,addNote> 0.001761607895842413
<127,patient1-9,noteItem1-9,read> 0.0019868832095490093
<128,nurse8-1,HR8-4,addItem> 1.3649434718413712E-4
<129,nurse8-1,HR8-3,addItem> 1.3753645449522965E-4
<130,patient6-9,noteItem6-9,read> 0.005505033339318741
<131,agent3-01,HR3-1,addNote> 0.0011695343984228714
<132,nurse8-1,HR8-2,addItem> 1.422259373951459E-4
<133,nurse8-1,HR8-9,addItem> 1.3545223987304462E-4
<134,nurse8-1,HR8-8,addItem> 1.344101325619521E-4
<135,nurse4-0,nursingItem4-1,read> 9.130659334130464E-4
<136,nurse2-1,HR2-0,addItem> 1.9545112740162196E-4
<137,patient3-1,noteItem3-1agent3-0,read> 0.005246559195970487
<138,nurse2-1,nursingItem2-7,read> 6.499680047801549E-4
<139,patient7-8,noteItem7-8,read> 0.0017967129322641593
<140,nurse8-1,HR8-7,addItem> 1.3493118621749837E-4
<141,doctor1-1,HRitem1-7-1,read> 5.454405971357511E-4
<142,nurse2-1,HR2-1,addItem> 1.959232790933823E-4
<143,nurse8-1,HR8-6,addItem> 1.3857856180632213E-4
<144,nurse4-0,nursingItem4-4,read> 9.196541068247215E-4
<145,nurse2-1,HR2-4,addItem> 1.98284037552184E-4
<146,patient7-2,HR7-2,addNote> 0.0015548896006974426
<147,nurse2-1,HR2-2,addItem> 1.9686758247690293E-4
<148,doctor7-1,HR6-3,addItem> 1.0496622580585212E-4
<149,doctor1-1,HRitem2-5-0,read> 3.3591875427536265E-4
<150,doctor5-1,HR5-5,addItem> 5.933321713631704E-4
<151,patient6-3,HR6-3,addNote> 4.226371204715823E-4
<152,nurse2-1,HR2-3,addItem> 1.973397341686633E-4
<153,doctor7-0,HR7-0,addItem> 3.6601913714722753E-4
<154,patient7-1,HR7-1,addNote> 0.0015407951714830129
<155,nurse2-1,HR2-5,addItem> 1.9214606555929963E-4
<156,nurse2-1,HR2-6,addItem> 1.916739138675393E-4
<157,nurse8-1,HR8-1,addItem> 1.432680447062384E-4
<158,doctor1-0,HRitem1-7-3,read> 3.9276453699663686E-4
<159,nurse2-1,HR2-7,addItem> 1.9309036894282026E-4
<160,nurse8-1,HR8-0,addItem> 1.4066277642850713E-4
<161,patient0-8,HR0-8,addNote> 0.0013763601639813316
<162,nurse2-1,HR2-8,addItem> 1.9261821725105997E-4
<163,nurse9-3,nursingItem9-7,read> 0.001431135994535559
<164,nurse2-1,HR2-9,addItem> 1.945068240181013E-4
<165,patient1-4,noteItem1-4,read> 0.0016826107658932494
<166,agent9-01,HR9-9,addNote> 6.217918946613787E-4
<167,nurse1-0,HR1-8,addItem> 1.9533850582776426E-4
<168,nurse6-3,nursingItem6-0,read> 2.1518655764023555E-4
<169,nurse2-0,HR2-9,addItem> 1.9579069744396336E-4
<170,patient7-3,noteItem7-3,read> 0.0017016277936217337
<171,agent3-0,noteItem3-1,read> 0.0025568155698990134
<172,nurse6-3,nursingItem6-2,read> 3.77637503659607E-4
<173,patient5-5,noteItem5-5,read> 0.005362405631355103
