<0,stu2-8,stu2-8application2-8,checkStatus> 0.0023680892344342683
<1,admissions4-0,stu3-8application3-8,setStatus> 1.7781841431645338E-4
<2,stu0-2,transcript0-2,read> 8.663155755716048E-4
<3,chair2,transcript2-12,read> 0.0019143061275815713
<4,chair5,transcript5-1,read> 0.0016561652088915855
<5,registrar2-0,transcript4-10,read> 3.5407204660665504E-4
<6,fac4-3,roster4-7,read> 0.0015032132171304351
<7,fac4-2,roster4-4,read> 0.0014716128224929487
<8,stu0-8,gradebook0-2,readMyScores> 2.2521056915337294E-5
<9,registrar0-0,transcript2-10,read> 3.3439801979122467E-4
<10,stu4-4,stu4-4application4-4,checkStatus> 0.001652324301262052
<11,stu5-10,gradebook5-1,readMyScores> 3.0134108097827113E-5
<12,chair4,transcript4-18,read> 0.0021093459328140047
<13,admissions0-1,stu2-9application2-9,read> 2.063766124718087E-4
<14,admissions0-0,stu1-0application1-0,read> 2.1404365762293405E-4
<15,fac0-1,roster0-2,read> 0.0026829612835965987
<16,registrar4-0,transcript4-13,read> 4.296227619436817E-4
<17,registrar2-1,transcript4-2,read> 2.222971595912884E-4
<18,stu3-15,transcript3-15,read> 0.0017340774208853993
<19,stu1-4,transcript1-4,read> 0.0015307732171261673
<20,fac0-2,roster0-5,read> 0.002704028213354923
<21,registrar4-1,transcript5-5,read> 3.5747819641111735E-4
<22,stu3-5,stu3-5application3-5,checkStatus> 0.0013094789131039316
<23,admissions2-1,stu5-4application5-4,setStatus> 6.723445101937698E-5
<24,fac5-4,gradebook5-8,changeScore> 3.8275977925982224E-4
<25,registrar4-0,transcript0-2,read> 2.0866538177109436E-4
<26,registrar0-1,transcript0-18,read> 3.1980857761498E-4
<27,admissions2-0,application5-3,setStatus> 2.1205190876922593E-4
<28,admissions2-0,stu4-0application4-0,setStatus> 6.611972070521229E-5
<29,stu1-4,stu1-4application1-4,checkStatus> 0.002338015077578293
<30,registrar0-1,roster1-5,write> 1.4831100296498065E-4
<31,admissions0-1,application2-2,setStatus> 6.884078261110843E-5
<32,chair0,transcript0-1,read> 9.849988202976219E-4
