,0.6,,,0.7,,,0.8,,,0.9,,,1,,,
OverAssign,projmg,univ,health,projmg,univ,health,projmg,univ,health,projmg,univ,health,projmg,univ,health,SUM
Q_RELATIVE_TO_COVERED:,4,0,0,2,2,0,0,2,0,0,0,0,0,0,0,10
Q_RELATIVE_TO_MEANING:,26,5,0,2,0,0,0,2,0,0,0,0,0,0,0,35
Q_RELATIVE_TO_UP0:,541,6,118,598,6,108,576,0,100,558,0,100,240,60,100,3111
Q_RELATIVE_TO_PERMISSIONS:,16,1,0,5,0,0,3,0,0,0,0,0,0,0,0,25
Q_RELATIVE_TO_SIZE_AND_PERMISSIONS:,2,0,0,4,2,0,18,7,0,86,3,0,0,10,0,132
Q_PROGOL:,9727,448,198,288,3690,5216,8470,460,180,292,3690,5770,210,460,5800,44899
Q_RELATIVE_TO_COVERED_FREQ:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q_RELATIVE_TO_MEANING_FREQ:,31,1,0,0,0,0,8,0,0,0,0,0,0,0,0,40
Q_RELATIVE_TO_UP0_FREQ:,525,48,118,145,6,60,344,0,40,119,0,92,0,0,90,1587
Q_RELATIVE_TO_PERMISSIONS_FREQ:,18,1,0,0,0,0,28,0,0,0,0,0,0,0,0,47
Q_RELATIVE_TO_SIZE_AND_PERMISSIONS_FREQ:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
UnderAssign,,,,,,,,,,,,,,,,
Q_RELATIVE_TO_COVERED:,538,127,446,308,100,304,157,69,175,59,25,60,0,0,0,2368
Q_RELATIVE_TO_MEANING:,168,96,242,149,68,223,67,50,144,52,18,6,0,0,0,1283
Q_RELATIVE_TO_UP0:,37,18,46,30,8,14,0,0,2,0,0,2,0,0,0,157
Q_RELATIVE_TO_PERMISSIONS:,415,79,222,229,49,162,101,25,79,41,11,26,0,0,0,1439
Q_RELATIVE_TO_SIZE_AND_PERMISSIONS:,514,177,445,317,117,264,157,68,91,52,13,18,0,0,0,2233
Q_PROGOL:,248,18,146,230,0,14,12,0,44,15,0,2,0,0,0,729
Q_RELATIVE_TO_COVERED_FREQ:,750,200,670,560,150,500,370,100,330,180,50,160,0,0,0,4020
Q_RELATIVE_TO_MEANING_FREQ:,175,89,271,341,146,280,186,99,163,63,45,72,0,0,0,1930
Q_RELATIVE_TO_UP0_FREQ:,43,18,46,157,104,124,70,81,76,54,26,42,0,0,0,841
Q_RELATIVE_TO_PERMISSIONS_FREQ:,422,77,217,399,137,249,224,95,166,70,33,78,0,0,0,2167
Q_RELATIVE_TO_SIZE_AND_PERMISSIONS_FREQ:,750,200,670,560,150,500,370,100,330,180,50,160,0,0,0,4020
,,,,,,,,,,,,,,,,
sum of 10 testcases for each data point,,,,,,,,,,,,,,,,
