dataset,n_resources_total,n_policies_total,n_users_total,shared_fraction,shared_count,trial_seed,phase1_time_s,phase1_policy_count,phase1_undeliverable_count,naive_policy_count,naive_undeliverable_count,naive_leaked_resource_count,exact_cover_size,exact_cover_skipped_reason,greedy_optimality_gap,phase2_conf_allow,phase2_conf_deny,phase2_integ_grant,phase2_integ_compensatory_read,sod_pairs_tested,sod_violations,bod_pairs_tested,bod_unsatisfied
edocument,300,25,-1,0.1,30,0,0.05852779996348545,0,30,1,0,270,0,,0,0,30,30,0,6,0,6,6
edocument,300,25,-1,0.1,30,1,0.06313039996894076,0,30,1,0,270,0,,0,0,30,30,0,6,0,6,6
edocument,300,25,-1,0.1,30,2,0.06629619997693226,0,30,1,0,270,0,,0,0,30,30,0,6,0,6,6
edocument,300,25,-1,0.1,30,3,0.059884199989028275,0,30,1,0,270,0,,0,0,30,30,0,6,0,6,6
edocument,300,25,-1,0.1,30,4,0.04977310000685975,0,30,1,0,270,0,,0,0,30,30,0,6,0,6,6
edocument,300,25,-1,0.1,30,5,0.06806339998729527,0,30,1,0,270,0,,0,0,30,30,0,6,0,6,6
edocument,300,25,-1,0.1,30,6,0.05675240000709891,0,30,1,0,270,0,,0,0,30,30,0,6,0,6,6
edocument,300,25,-1,0.1,30,7,0.05852740001864731,0,30,1,0,270,0,,0,0,30,30,0,6,0,6,6
edocument,300,25,-1,0.1,30,8,0.06801889999769628,0,30,1,0,270,0,,0,0,30,30,0,6,0,6,6
edocument,300,25,-1,0.1,30,9,0.0672226999886334,0,30,1,0,270,0,,0,0,30,30,0,6,0,6,6
edocument,300,25,-1,0.3,90,0,0.17695409996667877,0,90,1,0,210,0,,0,0,90,90,0,6,0,6,6
edocument,300,25,-1,0.3,90,1,0.18413420004071668,0,90,1,0,210,0,,0,0,90,90,0,6,0,6,6
edocument,300,25,-1,0.3,90,2,0.2181045999750495,0,90,1,0,210,0,,0,0,90,90,0,6,0,6,6
edocument,300,25,-1,0.3,90,3,0.18919270002515987,0,90,1,0,210,0,,0,0,90,90,0,6,0,6,6
edocument,300,25,-1,0.3,90,4,0.17238470003940165,0,90,1,0,210,0,,0,0,90,90,0,6,0,6,6
edocument,300,25,-1,0.3,90,5,0.20334489998640493,0,90,1,0,210,0,,0,0,90,90,0,6,0,6,6
edocument,300,25,-1,0.3,90,6,0.17238210001960397,0,90,1,0,210,0,,0,0,90,90,0,6,0,6,6
edocument,300,25,-1,0.3,90,7,0.16173580003669485,0,90,1,0,210,0,,0,0,90,90,0,6,0,6,6
edocument,300,25,-1,0.3,90,8,0.17684480000752956,0,90,1,0,210,0,,0,0,90,90,0,6,0,6,6
edocument,300,25,-1,0.3,90,9,0.17321029998129234,0,90,1,0,210,0,,0,0,90,90,0,6,0,6,6
edocument,300,25,-1,0.5,150,0,0.301370200002566,0,150,1,0,150,0,,0,0,150,150,0,6,0,6,6
edocument,300,25,-1,0.5,150,1,0.3024209999712184,0,150,1,0,150,0,,0,0,150,150,0,6,0,6,6
edocument,300,25,-1,0.5,150,2,0.30509619996882975,0,150,1,0,150,0,,0,0,150,150,0,6,0,6,6
edocument,300,25,-1,0.5,150,3,0.3027619000058621,0,150,1,0,150,0,,0,0,150,150,0,6,0,6,6
edocument,300,25,-1,0.5,150,4,0.3454947000136599,0,150,1,0,150,0,,0,0,150,150,0,6,0,6,6
edocument,300,25,-1,0.5,150,5,0.31738469999982044,0,150,1,0,150,0,,0,0,150,150,0,6,0,6,6
edocument,300,25,-1,0.5,150,6,0.39247349998913705,0,150,1,0,150,0,,0,0,150,150,0,6,0,6,6
edocument,300,25,-1,0.5,150,7,0.302806599996984,0,150,1,0,150,0,,0,0,150,150,0,6,0,6,6
edocument,300,25,-1,0.5,150,8,0.3824091000133194,0,150,1,0,150,0,,0,0,150,150,0,6,0,6,6
edocument,300,25,-1,0.5,150,9,0.3349748000036925,0,150,1,0,150,0,,0,0,150,150,0,6,0,6,6
edocument,300,25,-1,0.7,210,0,0.4173531999695115,0,210,1,0,90,0,,0,0,210,210,0,6,0,6,6
edocument,300,25,-1,0.7,210,1,0.4268024999764748,0,210,1,0,90,0,,0,0,210,210,0,6,0,6,6
edocument,300,25,-1,0.7,210,2,0.4660509999957867,0,210,1,0,90,0,,0,0,210,210,0,6,0,6,6
edocument,300,25,-1,0.7,210,3,0.44491399999242276,0,210,1,0,90,0,,0,0,210,210,0,6,0,6,6
edocument,300,25,-1,0.7,210,4,0.5278032000060193,0,210,1,0,90,0,,0,0,210,210,0,6,0,6,6
edocument,300,25,-1,0.7,210,5,0.405758400040213,0,210,1,0,90,0,,0,0,210,210,0,6,0,6,6
edocument,300,25,-1,0.7,210,6,0.45964630000526085,0,210,1,0,90,0,,0,0,210,210,0,6,0,6,6
edocument,300,25,-1,0.7,210,7,0.40775150002446026,0,210,1,0,90,0,,0,0,210,210,0,6,0,6,6
edocument,300,25,-1,0.7,210,8,0.4172619999735616,0,210,1,0,90,0,,0,0,210,210,0,6,0,6,6
