dataset,n_resources_total,n_policies_total,n_users_total,shared_fraction,shared_count,trial_seed,phase1_time_s,phase1_policy_count,phase1_undeliverable_count,naive_policy_count,naive_undeliverable_count,naive_leaked_resource_count,exact_cover_size,exact_cover_skipped_reason,greedy_optimality_gap,phase2_conf_allow,phase2_conf_deny,phase2_integ_grant,phase2_integ_compensatory_read,sod_pairs_tested,sod_violations,bod_pairs_tested,bod_unsatisfied
healthcare,16,6,-1,0.1,2,0,0.0004656999954022467,0,2,2,0,14,0,,0,1,1,1,1,3,0,3,3
healthcare,16,6,-1,0.1,2,1,0.0001715999678708613,0,2,1,0,10,0,,0,0,2,2,0,3,0,3,3
healthcare,16,6,-1,0.1,2,2,9.799998952075839e-05,0,2,2,0,14,0,,0,1,1,1,1,3,0,3,3
healthcare,16,6,-1,0.1,2,3,0.0002204999909736216,0,2,2,0,14,0,,0,1,1,1,1,3,0,3,3
healthcare,16,6,-1,0.1,2,4,0.0004336000420153141,0,2,2,0,14,0,,0,1,1,1,1,3,0,3,3
healthcare,16,6,-1,0.1,2,5,0.00021269998978823423,0,2,2,0,14,0,,0,1,1,1,1,3,0,3,3
healthcare,16,6,-1,0.1,2,6,0.00016850000247359276,0,2,2,0,14,0,,0,1,1,1,1,3,0,3,3
healthcare,16,6,-1,0.1,2,7,0.00010549998842179775,0,2,1,0,10,0,,0,0,2,2,0,3,0,3,3
healthcare,16,6,-1,0.1,2,8,0.00043080002069473267,0,2,2,0,14,0,,0,1,1,1,1,3,0,3,3
healthcare,16,6,-1,0.1,2,9,8.139997953549027e-05,0,2,1,0,10,0,,0,0,2,2,0,3,0,3,3
healthcare,16,6,-1,0.3,5,0,0.00018740002997219563,0,5,2,0,11,0,,0,1,4,4,1,3,0,3,3
healthcare,16,6,-1,0.3,5,1,0.00016639998648315668,0,5,1,0,7,0,,0,0,5,5,0,3,0,3,3
healthcare,16,6,-1,0.3,5,2,0.00020249997032806277,0,5,2,0,11,0,,0,1,4,4,1,3,0,3,3
healthcare,16,6,-1,0.3,5,3,0.0002725999802350998,0,5,2,0,11,0,,0,1,4,4,1,3,0,3,3
healthcare,16,6,-1,0.3,5,4,0.0002519999979995191,0,5,2,0,11,0,,0,2,3,3,2,3,0,3,3
healthcare,16,6,-1,0.3,5,5,0.00019049999536946416,0,5,2,0,11,0,,0,1,4,4,1,3,0,3,3
healthcare,16,6,-1,0.3,5,6,0.00019260001135990024,0,5,2,0,11,0,,0,1,4,4,1,3,0,3,3
healthcare,16,6,-1,0.3,5,7,0.00020700000459328294,0,5,2,0,11,0,,0,1,4,4,1,3,0,3,3
healthcare,16,6,-1,0.3,5,8,0.0002941000275313854,0,5,2,0,11,0,,0,2,3,3,2,3,0,3,3
healthcare,16,6,-1,0.3,5,9,0.00040060002356767654,0,5,1,0,7,0,,0,0,5,5,0,3,0,3,3
healthcare,16,6,-1,0.5,8,0,0.00030720001086592674,0,8,2,0,8,0,,0,2,6,6,2,3,0,3,3
healthcare,16,6,-1,0.5,8,1,0.0003217000048607588,0,8,2,0,8,0,,0,3,5,5,3,3,0,3,3
healthcare,16,6,-1,0.5,8,2,0.0003595000016503036,0,8,2,0,8,0,,0,8,0,7,1,3,0,3,3
healthcare,16,6,-1,0.5,8,3,0.0008099999977275729,0,8,2,0,8,0,,0,2,6,6,2,3,0,3,3
healthcare,16,6,-1,0.5,8,4,0.0003643999807536602,0,8,2,0,8,0,,0,3,5,5,3,3,0,3,3
healthcare,16,6,-1,0.5,8,5,0.00030040001729503274,0,8,2,0,8,0,,0,2,6,6,2,3,0,3,3
healthcare,16,6,-1,0.5,8,6,0.0003228000132367015,0,8,2,0,8,0,,0,3,5,5,3,3,0,3,3
healthcare,16,6,-1,0.5,8,7,0.0008060000254772604,0,8,2,0,8,0,,0,8,0,7,1,3,0,3,3
healthcare,16,6,-1,0.5,8,8,0.0003367000026628375,0,8,2,0,8,0,,0,2,6,6,2,3,0,3,3
healthcare,16,6,-1,0.5,8,9,0.0003603000077418983,0,8,2,0,8,0,,0,8,0,7,1,3,0,3,3
healthcare,16,6,-1,0.7,11,0,0.0005390000296756625,1,7,2,0,5,1,,0,7,0,7,0,3,0,3,3
healthcare,16,6,-1,0.7,11,1,0.0006107999943196774,1,7,2,0,5,1,,0,7,0,7,0,3,0,3,3
healthcare,16,6,-1,0.7,11,2,0.0005582000012509525,0,11,2,0,5,0,,0,11,0,9,2,3,0,3,3
healthcare,16,6,-1,0.7,11,3,0.0005746999522671103,0,11,2,0,5,0,,0,11,0,8,3,3,0,3,3
healthcare,16,6,-1,0.7,11,4,0.0005763999652117491,1,7,2,0,5,1,,0,7,0,7,0,3,0,3,3
healthcare,16,6,-1,0.7,11,5,0.0007167999865487218,0,11,2,0,5,0,,0,11,0,8,3,3,0,3,3
healthcare,16,6,-1,0.7,11,6,0.0018160000327043235,0,11,2,0,5,0,,0,11,0,8,3,3,0,3,3
healthcare,16,6,-1,0.7,11,7,0.0006275000050663948,0,11,2,0,5,0,,0,11,0,9,2,3,0,3,3
healthcare,16,6,-1,0.7,11,8,0.0013974999892525375,0,11,2,0,5,0,,0,11,0,8,3,3,0,3,3
healthcare,16,6,-1,0.7,11,9,0.0018109999946318567,0,11,2,0,5,0,,0,11,0,8,3,3,0,3,3
healthcare,16,6,-1,0.9,14,0,0.0017834000173024833,1,10,2,0,2,1,,0,10,0,10,0,3,0,3,3
healthcare,16,6,-1,0.9,14,1,0.0009479000000283122,1,10,2,0,2,1,,0,10,0,10,0,3,0,3,3
healthcare,16,6,-1,0.9,14,2,0.0011712000123225152,0,14,2,0,2,0,,0,14,0,11,3,3,0,3,3
healthcare,16,6,-1,0.9,14,3,0.0015181999769993126,0,14,2,0,2,0,,0,14,0,11,3,3,0,3,3
healthcare,16,6,-1,0.9,14,4,0.001159600040409714,1,10,2,0,2,1,,0,10,0,10,0,3,0,3,3
healthcare,16,6,-1,0.9,14,5,0.0013378000003285706,0,14,2,0,2,0,,0,14,0,11,3,3,0,3,3
healthcare,16,6,-1,0.9,14,6,0.0006677000201307237,1,10,2,0,2,1,,0,10,0,10,0,3,0,3,3
healthcare,16,6,-1,0.9,14,7,0.0005402000388130546,0,14,2,0,2,0,,0,14,0,11,3,3,0,3,3
healthcare,16,6,-1,0.9,14,8,0.0019355000113137066,1,10,2,0,2,1,,0,10,0,10,0,3,0,3,3
healthcare,16,6,-1,0.9,14,9,0.0009379000402987003,0,14,2,0,2,0,,0,14,0,11,3,3,0,3,3
