dataset,shared_fraction,trial_seed,target_pairs,synabac_policy_count,synabac_deliverable_count,polap_bulk_rule_count,polap_bulk_undeliverable,polap_decomposed_deliverable_count,polap_decomposed_rule_count
healthcare,0.3,0,5,0,0,-1,True,0,0
healthcare,0.3,1,5,0,0,-1,True,0,0
healthcare,0.3,2,5,0,0,-1,True,0,0
healthcare,0.3,3,5,0,0,-1,True,0,0
healthcare,0.3,4,5,0,0,-1,True,0,0
healthcare,0.3,5,5,0,0,-1,True,0,0
healthcare,0.3,6,5,0,0,-1,True,0,0
healthcare,0.3,7,5,0,0,-1,True,0,0
healthcare,0.3,8,5,0,0,-1,True,0,0
healthcare,0.3,9,5,0,0,-1,True,0,0
healthcare,0.5,0,8,0,0,-1,True,0,0
healthcare,0.5,1,8,0,0,-1,True,0,0
healthcare,0.5,2,8,0,0,-1,True,0,0
healthcare,0.5,3,8,0,0,-1,True,0,0
healthcare,0.5,4,8,0,0,-1,True,0,0
healthcare,0.5,5,8,0,0,-1,True,0,0
healthcare,0.5,6,8,0,0,-1,True,0,0
healthcare,0.5,7,8,0,0,-1,True,0,0
healthcare,0.5,8,8,0,0,-1,True,0,0
healthcare,0.5,9,8,0,0,-1,True,0,0
healthcare,0.7,0,11,1,4,-1,True,4,1
healthcare,0.7,1,11,1,4,-1,True,4,1
healthcare,0.7,2,11,0,0,-1,True,0,0
healthcare,0.7,3,11,0,0,-1,True,0,0
healthcare,0.7,4,11,1,4,-1,True,4,1
healthcare,0.7,5,11,0,0,-1,True,0,0
healthcare,0.7,6,11,0,0,-1,True,0,0
healthcare,0.7,7,11,0,0,-1,True,0,0
healthcare,0.7,8,11,0,0,-1,True,0,0
healthcare,0.7,9,11,0,0,-1,True,0,0
healthcare,0.9,0,14,1,4,-1,True,4,1
healthcare,0.9,1,14,1,4,-1,True,4,1
healthcare,0.9,2,14,0,0,-1,True,0,0
healthcare,0.9,3,14,0,0,-1,True,0,0
healthcare,0.9,4,14,1,4,-1,True,4,1
healthcare,0.9,5,14,0,0,-1,True,0,0
healthcare,0.9,6,14,1,4,-1,True,4,1
healthcare,0.9,7,14,0,0,-1,True,0,0
healthcare,0.9,8,14,1,4,-1,True,4,1
healthcare,0.9,9,14,0,0,-1,True,0,0
university,0.3,0,10,0,0,-1,True,0,0
university,0.3,1,10,0,0,-1,True,0,0
university,0.3,2,10,0,0,-1,True,0,0
university,0.3,3,10,0,0,-1,True,0,0
university,0.3,4,10,0,0,-1,True,0,0
university,0.3,5,10,0,0,-1,True,0,0
university,0.3,6,10,0,0,-1,True,0,0
university,0.3,7,10,0,0,-1,True,0,0
university,0.3,8,10,0,0,-1,True,0,0
university,0.3,9,10,0,0,-1,True,0,0
university,0.5,0,17,0,0,-1,True,0,0
university,0.5,1,17,0,0,-1,True,0,0
university,0.5,2,17,0,0,-1,True,0,0
university,0.5,3,17,0,0,-1,True,0,0
university,0.5,4,17,0,0,-1,True,0,0
university,0.5,5,17,0,0,-1,True,0,0
university,0.5,6,17,0,0,-1,True,0,0
university,0.5,7,17,0,0,-1,True,0,0
university,0.5,8,17,0,0,-1,True,0,0
university,0.5,9,17,0,0,-1,True,0,0
university,0.7,0,24,0,0,-1,True,0,0
university,0.7,1,24,0,0,-1,True,0,0
university,0.7,2,24,0,0,-1,True,0,0
university,0.7,3,24,0,0,-1,True,0,0
university,0.7,4,24,0,0,-1,True,0,0
university,0.7,5,24,0,0,-1,True,0,0
university,0.7,6,24,0,0,-1,True,0,0
university,0.7,7,24,0,0,-1,True,0,0
university,0.7,8,24,0,0,-1,True,0,0
university,0.7,9,24,0,0,-1,True,0,0
university,0.9,0,31,2,12,-1,True,12,2
university,0.9,1,31,2,16,-1,True,16,2
university,0.9,2,31,1,12,-1,True,12,1
university,0.9,3,31,3,22,-1,True,22,3
university,0.9,4,31,2,16,-1,True,16,2
university,0.9,5,31,2,16,-1,True,16,2
university,0.9,6,31,2,18,-1,True,18,2
university,0.9,7,31,2,16,-1,True,16,2
university,0.9,8,31,2,16,-1,True,16,2
university,0.9,9,31,2,12,-1,True,12,2
project-management,0.3,0,12,0,0,-1,True,0,0
project-management,0.3,1,12,0,0,-1,True,0,0
project-management,0.3,2,12,0,0,-1,True,0,0
project-management,0.3,3,12,0,0,-1,True,0,0
project-management,0.3,4,12,0,0,-1,True,0,0
project-management,0.3,5,12,0,0,-1,True,0,0
project-management,0.3,6,12,0,0,-1,True,0,0
project-management,0.3,7,12,0,0,-1,True,0,0
project-management,0.3,8,12,0,0,-1,True,0,0
project-management,0.3,9,12,0,0,-1,True,0,0
project-management,0.5,0,20,0,0,-1,True,0,0
project-management,0.5,1,20,0,0,-1,True,0,0
project-management,0.5,2,20,0,0,-1,True,0,0
project-management,0.5,3,20,0,0,-1,True,0,0
project-management,0.5,4,20,0,0,-1,True,0,0
project-management,0.5,5,20,0,0,-1,True,0,0
project-management,0.5,6,20,0,0,-1,True,0,0
project-management,0.5,7,20,0,0,-1,True,0,0
project-management,0.5,8,20,0,0,-1,True,0,0
project-management,0.5,9,20,1,4,-1,True,4,1
project-management,0.7,0,28,0,0,-1,True,0,0
project-management,0.7,1,28,0,0,-1,True,0,0
project-management,0.7,2,28,0,0,-1,True,0,0
project-management,0.7,3,28,0,0,-1,True,0,0
project-management,0.7,4,28,0,0,-1,True,0,0
project-management,0.7,5,28,0,0,-1,True,0,0
project-management,0.7,6,28,0,0,-1,True,0,0
project-management,0.7,7,28,0,0,-1,True,0,0
project-management,0.7,8,28,0,0,-1,True,0,0
project-management,0.7,9,28,1,4,-1,True,4,1
project-management,0.9,0,36,0,0,-1,True,0,0
project-management,0.9,1,36,0,0,-1,True,0,0
project-management,0.9,2,36,1,8,-1,True,8,2
project-management,0.9,3,36,1,8,-1,True,8,2
project-management,0.9,4,36,2,24,-1,True,24,3
project-management,0.9,5,36,1,8,-1,True,8,2
project-management,0.9,6,36,1,8,-1,True,8,2
project-management,0.9,7,36,1,8,-1,True,8,2
project-management,0.9,8,36,1,16,-1,True,16,1
project-management,0.9,9,36,1,8,-1,True,8,2
workforce,0.3,0,75,0,0,-1,True,0,0
workforce,0.3,1,75,0,0,-1,True,0,0
workforce,0.3,2,75,0,0,-1,True,0,0
workforce,0.3,3,75,0,0,-1,True,0,0
workforce,0.3,4,75,1,2,-1,True,2,1
workforce,0.3,5,75,0,0,-1,True,0,0
workforce,0.3,6,75,0,0,-1,True,0,0
workforce,0.3,7,75,0,0,-1,True,0,0
workforce,0.3,8,75,0,0,-1,True,0,0
workforce,0.3,9,75,0,0,-1,True,0,0
workforce,0.5,0,125,1,2,-1,True,2,1
workforce,0.5,1,125,0,0,-1,True,0,0
workforce,0.5,2,125,1,2,-1,True,2,1
