dataset,n_resources_total,n_policies_total,n_users_total,shared_fraction,shared_count,trial_seed,phase1_time_s,phase1_policy_count,phase1_undeliverable_count,naive_policy_count,naive_undeliverable_count,naive_leaked_resource_count,exact_cover_size,exact_cover_skipped_reason,greedy_optimality_gap,phase2_conf_allow,phase2_conf_deny,phase2_integ_grant,phase2_integ_compensatory_read,sod_pairs_tested,sod_violations,bod_pairs_tested,bod_unsatisfied
project-management,40,5,-1,0.1,4,0,0.0011628000065684319,0,4,1,0,28,0,,0,0,4,4,0,6,0,6,6
project-management,40,5,-1,0.1,4,1,0.0006988999666646123,0,4,1,0,28,0,,0,0,4,4,0,6,0,6,6
project-management,40,5,-1,0.1,4,2,0.001136799983214587,0,4,2,0,36,0,,0,0,4,3,1,6,0,6,6
project-management,40,5,-1,0.1,4,3,0.0008090000483207405,0,4,1,0,28,0,,0,0,4,4,0,6,0,6,6
project-management,40,5,-1,0.1,4,4,0.00040580000495538116,0,4,1,0,28,0,,0,0,4,4,0,6,0,6,6
project-management,40,5,-1,0.1,4,5,0.0003857999690808356,0,4,1,0,28,0,,0,0,4,4,0,6,0,6,6
project-management,40,5,-1,0.1,4,6,0.0003239000216126442,0,4,2,0,36,0,,0,1,3,4,0,6,0,6,6
project-management,40,5,-1,0.1,4,7,0.0005992999649606645,0,4,2,0,36,0,,0,0,4,3,1,6,0,6,6
project-management,40,5,-1,0.1,4,8,0.0004515000036917627,0,4,1,0,28,0,,0,0,4,4,0,6,0,6,6
project-management,40,5,-1,0.1,4,9,0.0004437000025063753,0,4,1,0,28,0,,0,0,4,4,0,6,0,6,6
project-management,40,5,-1,0.3,12,0,0.0009366999729536474,0,12,2,0,28,0,,0,3,9,11,1,6,0,6,6
project-management,40,5,-1,0.3,12,1,0.0013973999884910882,0,12,2,0,28,0,,0,1,11,11,1,6,0,6,6
project-management,40,5,-1,0.3,12,2,0.0010145999840460718,0,12,2,0,28,0,,0,1,11,11,1,6,0,6,6
project-management,40,5,-1,0.3,12,3,0.0015648999833501875,0,12,2,0,28,0,,0,0,12,10,2,6,0,6,6
project-management,40,5,-1,0.3,12,4,0.001123499998357147,0,12,2,0,28,0,,0,1,11,11,1,6,0,6,6
project-management,40,5,-1,0.3,12,5,0.001054299995303154,0,12,2,0,28,0,,0,3,9,11,1,6,0,6,6
project-management,40,5,-1,0.3,12,6,0.0010406000073999166,0,12,2,0,28,0,,0,4,8,9,3,6,0,6,6
project-management,40,5,-1,0.3,12,7,0.0010427000233903527,0,12,2,0,28,0,,0,0,12,11,1,6,0,6,6
project-management,40,5,-1,0.3,12,8,0.0011818999773822725,0,12,1,0,20,0,,0,0,12,12,0,6,0,6,6
project-management,40,5,-1,0.3,12,9,0.0009022000012919307,0,12,2,0,28,0,,0,3,9,11,1,6,0,6,6
project-management,40,5,-1,0.5,20,0,0.0016493999864906073,0,20,2,0,20,0,,0,3,17,19,1,6,0,6,6
project-management,40,5,-1,0.5,20,1,0.0016680000117048621,0,20,2,0,20,0,,0,3,17,18,2,6,0,6,6
project-management,40,5,-1,0.5,20,2,0.0016544000245630741,0,20,2,0,20,0,,0,4,16,18,2,6,0,6,6
project-management,40,5,-1,0.5,20,3,0.0017065000138245523,0,20,2,0,20,0,,0,3,17,17,3,6,0,6,6
project-management,40,5,-1,0.5,20,4,0.0016047999961301684,0,20,2,0,20,0,,0,4,16,19,1,6,0,6,6
project-management,40,5,-1,0.5,20,5,0.0015504999901168048,0,20,2,0,20,0,,0,5,15,17,3,6,0,6,6
project-management,40,5,-1,0.5,20,6,0.0015864000306464732,0,20,2,0,20,0,,0,5,15,17,3,6,0,6,6
project-management,40,5,-1,0.5,20,7,0.0017390000284649432,0,20,2,0,20,0,,0,1,19,19,1,6,0,6,6
project-management,40,5,-1,0.5,20,8,0.0017834000173024833,0,20,2,0,20,0,,0,3,17,18,2,6,0,6,6
project-management,40,5,-1,0.5,20,9,0.0016843999619595706,1,16,2,0,20,1,,0,2,14,14,2,6,0,6,6
project-management,40,5,-1,0.7,28,0,0.004887999966740608,0,28,2,0,12,0,,0,16,12,26,2,6,0,6,6
project-management,40,5,-1,0.7,28,1,0.00769550004042685,0,28,2,0,12,0,,0,16,12,25,3,6,0,6,6
project-management,40,5,-1,0.7,28,2,0.0036014000070281327,0,28,2,0,12,0,,0,17,11,25,3,6,0,6,6
project-management,40,5,-1,0.7,28,3,0.004845899995416403,0,28,2,0,12,0,,0,6,22,24,4,6,0,6,6
project-management,40,5,-1,0.7,28,4,0.0023880000226199627,0,28,2,0,12,0,,0,18,10,24,4,6,0,6,6
project-management,40,5,-1,0.7,28,5,0.00227870000526309,0,28,2,0,12,0,,0,5,23,25,3,6,0,6,6
project-management,40,5,-1,0.7,28,6,0.0023187000188045204,0,28,2,0,12,0,,0,17,11,24,4,6,0,6,6
project-management,40,5,-1,0.7,28,7,0.0029678000137209892,0,28,2,0,12,0,,0,15,13,27,1,6,0,6,6
project-management,40,5,-1,0.7,28,8,0.00235290004638955,0,28,2,0,12,0,,0,16,12,25,3,6,0,6,6
project-management,40,5,-1,0.7,28,9,0.0033872000058181584,1,24,2,0,12,1,,0,3,21,21,3,6,0,6,6
project-management,40,5,-1,0.9,36,0,0.008885000017471611,0,36,2,0,4,0,,0,36,0,33,3,6,0,6,6
project-management,40,5,-1,0.9,36,1,0.010973100026603788,0,36,2,0,4,0,,0,36,0,32,4,6,0,6,6
project-management,40,5,-1,0.9,36,2,0.0068863999913446605,1,28,2,0,4,1,,0,28,0,28,0,6,0,6,6
project-management,40,5,-1,0.9,36,3,0.003507199988234788,1,28,2,0,4,1,,0,28,0,28,0,6,0,6,6
project-management,40,5,-1,0.9,36,4,0.003712099976837635,2,12,2,0,4,2,,0,12,0,12,0,6,0,6,6
project-management,40,5,-1,0.9,36,5,0.0076160000171512365,1,28,2,0,4,1,,0,28,0,28,0,6,0,6,6
project-management,40,5,-1,0.9,36,6,0.003374899970367551,1,28,2,0,4,1,,0,28,0,28,0,6,0,6,6
project-management,40,5,-1,0.9,36,7,0.003045200021006167,1,28,2,0,4,1,,0,28,0,28,0,6,0,6,6
project-management,40,5,-1,0.9,36,8,0.00730880000628531,1,20,2,0,4,1,,0,20,0,17,3,6,0,6,6
project-management,40,5,-1,0.9,36,9,0.006478400027845055,1,28,2,0,4,1,,0,28,0,28,0,6,0,6,6
