dataset,n_resources_total,n_policies_total,n_users_total,shared_fraction,shared_count,trial_seed,phase1_time_s,phase1_policy_count,phase1_undeliverable_count,naive_policy_count,naive_undeliverable_count,naive_leaked_resource_count,exact_cover_size,exact_cover_skipped_reason,greedy_optimality_gap,phase2_conf_allow,phase2_conf_deny,phase2_integ_grant,phase2_integ_compensatory_read,sod_pairs_tested,sod_violations,bod_pairs_tested,bod_unsatisfied
university,34,10,-1,0.1,3,0,0.0006888000061735511,0,3,2,0,19,0,,0,0,3,3,0,30,0,30,30
university,34,10,-1,0.1,3,1,0.000569600029848516,0,3,2,0,15,0,,0,1,2,3,0,30,0,30,30
university,34,10,-1,0.1,3,2,0.0008328999974764884,0,3,2,0,15,0,,0,1,2,3,0,30,0,30,30
university,34,10,-1,0.1,3,3,0.0007292000227607787,0,3,3,0,21,0,,0,2,1,3,0,30,0,30,30
university,34,10,-1,0.1,3,4,0.00046010001096874475,0,3,3,0,21,0,,0,2,1,3,0,30,0,30,30
university,34,10,-1,0.1,3,5,0.0008335000020451844,0,3,3,0,19,0,,0,2,1,3,0,30,0,30,30
university,34,10,-1,0.1,3,6,0.0004659999976865947,0,3,3,0,25,0,,0,1,2,3,0,30,0,30,30
university,34,10,-1,0.1,3,7,0.0003427000483497977,0,3,3,0,25,0,,0,1,2,3,0,30,0,30,30
university,34,10,-1,0.1,3,8,0.0003288000007160008,0,3,3,0,19,0,,0,2,1,3,0,30,0,30,30
university,34,10,-1,0.1,3,9,0.000603599997702986,0,3,3,0,19,0,,0,2,1,3,0,30,0,30,30
university,34,10,-1,0.3,10,0,0.0016083000227808952,0,10,3,0,18,0,,0,3,7,10,0,30,0,30,30
university,34,10,-1,0.3,10,1,0.0007875000010244548,0,10,4,0,24,0,,0,5,5,10,0,30,0,30,30
university,34,10,-1,0.3,10,2,0.0007275000098161399,0,10,3,0,18,0,,0,2,8,10,0,30,0,30,30
university,34,10,-1,0.3,10,3,0.0008434000192210078,0,10,4,0,24,0,,0,5,5,10,0,30,0,30,30
university,34,10,-1,0.3,10,4,0.0012419999693520367,0,10,4,0,24,0,,0,4,6,10,0,30,0,30,30
university,34,10,-1,0.3,10,5,0.0007655000081285834,0,10,4,0,24,0,,0,4,6,10,0,30,0,30,30
university,34,10,-1,0.3,10,6,0.0006939999875612557,0,10,4,0,24,0,,0,4,6,10,0,30,0,30,30
university,34,10,-1,0.3,10,7,0.0007042000070214272,0,10,4,0,24,0,,0,2,8,10,0,30,0,30,30
university,34,10,-1,0.3,10,8,0.0006760999676771462,0,10,4,0,24,0,,0,3,7,10,0,30,0,30,30
university,34,10,-1,0.3,10,9,0.0006848000339232385,0,10,4,0,24,0,,0,4,6,10,0,30,0,30,30
university,34,10,-1,0.5,17,0,0.0012740999809466302,0,17,4,0,17,0,,0,11,6,17,0,30,0,30,30
university,34,10,-1,0.5,17,1,0.0012675999896600842,0,17,4,0,17,0,,0,12,5,17,0,30,0,30,30
university,34,10,-1,0.5,17,2,0.0011280000326223671,0,17,3,0,11,0,,0,17,0,17,0,30,0,30,30
university,34,10,-1,0.5,17,3,0.0012777000083588064,0,17,4,0,17,0,,0,12,5,17,0,30,0,30,30
university,34,10,-1,0.5,17,4,0.001191499992273748,0,17,4,0,17,0,,0,14,3,17,0,30,0,30,30
university,34,10,-1,0.5,17,5,0.0012214999878779054,0,17,4,0,17,0,,0,8,9,17,0,30,0,30,30
university,34,10,-1,0.5,17,6,0.0011841999948956072,0,17,4,0,17,0,,0,13,4,17,0,30,0,30,30
university,34,10,-1,0.5,17,7,0.001253899943549186,0,17,4,0,17,0,,0,11,6,17,0,30,0,30,30
university,34,10,-1,0.5,17,8,0.0012002000003121793,0,17,4,0,17,0,,0,7,10,17,0,30,0,30,30
university,34,10,-1,0.5,17,9,0.0011969999759458005,0,17,4,0,17,0,,0,7,10,17,0,30,0,30,30
university,34,10,-1,0.7,24,0,0.0031167000415734947,0,24,4,0,10,0,,0,24,0,24,0,30,0,30,30
university,34,10,-1,0.7,24,1,0.0018207999528385699,0,24,4,0,10,0,,0,24,0,24,0,30,0,30,30
university,34,10,-1,0.7,24,2,0.0016980000073090196,0,24,4,0,10,0,,0,24,0,24,0,30,0,30,30
university,34,10,-1,0.7,24,3,0.0018135999562218785,0,24,4,0,10,0,,0,24,0,24,0,30,0,30,30
university,34,10,-1,0.7,24,4,0.0021154999849386513,0,24,4,0,10,0,,0,24,0,24,0,30,0,30,30
university,34,10,-1,0.7,24,5,0.003240699996240437,0,24,4,0,10,0,,0,24,0,24,0,30,0,30,30
university,34,10,-1,0.7,24,6,0.0016998000210151076,0,24,4,0,10,0,,0,24,0,24,0,30,0,30,30
university,34,10,-1,0.7,24,7,0.001691299956291914,0,24,4,0,10,0,,0,24,0,24,0,30,0,30,30
university,34,10,-1,0.7,24,8,0.0017609000205993652,0,24,4,0,10,0,,0,24,0,24,0,30,0,30,30
university,34,10,-1,0.7,24,9,0.0016755000106059015,0,24,4,0,10,0,,0,24,0,24,0,30,0,30,30
university,34,10,-1,0.9,31,0,0.00351129996124655,2,19,4,0,3,2,,0,19,0,19,0,30,1,30,29
university,34,10,-1,0.9,31,1,0.0035967000294476748,2,15,4,0,3,2,,0,15,0,15,0,30,0,30,30
university,34,10,-1,0.9,31,2,0.0031717000529170036,1,19,4,0,3,1,,0,19,0,19,0,30,0,30,30
university,34,10,-1,0.9,31,3,0.00491289998171851,3,9,4,0,3,3,,0,9,0,9,0,30,1,30,29
university,34,10,-1,0.9,31,4,0.008022999973036349,2,15,4,0,3,2,,0,15,0,15,0,30,0,30,30
university,34,10,-1,0.9,31,5,0.004535699961706996,2,15,4,0,3,2,,0,15,0,15,0,30,0,30,30
university,34,10,-1,0.9,31,6,0.0027404000284150243,2,13,4,0,3,2,,0,13,0,13,0,30,1,30,29
university,34,10,-1,0.9,31,7,0.003222699975594878,2,15,4,0,3,2,,0,15,0,15,0,30,1,30,30
university,34,10,-1,0.9,31,8,0.002518200024496764,2,15,4,0,3,2,,0,15,0,15,0,30,0,30,30
university,34,10,-1,0.9,31,9,0.002735899994149804,2,19,4,0,3,2,,0,19,0,19,0,30,0,30,29
