dataset,n_resources_total,n_policies_total,n_users_total,shared_fraction,shared_count,trial_seed,phase1_time_s,phase1_policy_count,phase1_undeliverable_count,naive_policy_count,naive_undeliverable_count,naive_leaked_resource_count,exact_cover_size,exact_cover_skipped_reason,greedy_optimality_gap,phase2_conf_allow,phase2_conf_deny,phase2_integ_grant,phase2_integ_compensatory_read,sod_pairs_tested,sod_violations,bod_pairs_tested,bod_unsatisfied
xustoller-healthcare,16,9,-1,0.1,2,0,0.0004167999722994864,0,2,2,0,14,0,,0,1,1,1,1,3,0,3,3
xustoller-healthcare,16,9,-1,0.1,2,1,0.0002995000104419887,0,2,1,0,10,0,,0,1,1,2,0,3,0,3,3
xustoller-healthcare,16,9,-1,0.1,2,2,0.00029910000739619136,0,2,2,0,14,0,,0,2,0,1,1,3,0,3,3
xustoller-healthcare,16,9,-1,0.1,2,3,0.0002788999699987471,0,2,2,0,14,0,,0,2,0,1,1,3,0,3,3
xustoller-healthcare,16,9,-1,0.1,2,4,0.0001230000052601099,0,2,2,0,14,0,,0,1,1,1,1,3,0,3,3
xustoller-healthcare,16,9,-1,0.1,2,5,0.0001241000136360526,0,2,2,0,14,0,,0,1,1,1,1,3,0,3,3
xustoller-healthcare,16,9,-1,0.1,2,6,0.0006722999969497323,0,2,2,0,14,0,,0,2,0,1,1,3,0,3,3
xustoller-healthcare,16,9,-1,0.1,2,7,0.00018699996871873736,0,2,1,0,10,0,,0,2,0,2,0,3,0,3,3
xustoller-healthcare,16,9,-1,0.1,2,8,0.00012229999992996454,0,2,2,0,14,0,,0,2,0,1,1,3,0,3,3
xustoller-healthcare,16,9,-1,0.1,2,9,0.00013239996042102575,0,2,1,0,10,0,,0,2,0,2,0,3,0,3,3
xustoller-healthcare,16,9,-1,0.3,5,0,0.00038670003414154053,0,5,2,0,11,0,,0,2,3,4,1,3,0,3,3
xustoller-healthcare,16,9,-1,0.3,5,1,0.00027059996500611305,0,5,1,0,7,0,,0,3,2,5,0,3,0,3,3
