dataset,n_resources_total,n_policies_total,n_users_total,shared_fraction,shared_count,trial_seed,phase1_time_s,phase1_policy_count,phase1_undeliverable_count,naive_policy_count,naive_undeliverable_count,naive_leaked_resource_count,exact_cover_size,exact_cover_skipped_reason,greedy_optimality_gap,phase2_conf_allow,phase2_conf_deny,phase2_integ_grant,phase2_integ_compensatory_read,sod_pairs_tested,sod_violations,bod_pairs_tested,bod_unsatisfied
xustoller-online-video,13,6,-1,0.1,1,0,8.399999933317304e-05,0,1,1,0,4,0,,0,1,0,1,0,0,0,0,0
xustoller-online-video,13,6,-1,0.1,1,1,0.00010730000212788582,0,1,1,0,3,0,,0,1,0,1,0,0,0,0,0
xustoller-online-video,13,6,-1,0.1,1,2,0.0001020999625325203,0,1,1,0,4,0,,0,1,0,1,0,0,0,0,0
xustoller-online-video,13,6,-1,0.1,1,3,0.00014219997683539987,0,1,1,0,3,0,,0,1,0,1,0,0,0,0,0
xustoller-online-video,13,6,-1,0.1,1,4,0.0001010000123642385,0,1,1,0,3,0,,0,1,0,1,0,0,0,0,0
xustoller-online-video,13,6,-1,0.1,1,5,4.859996261075139e-05,0,1,1,0,3,0,,0,1,0,1,0,0,0,0,0
xustoller-online-video,13,6,-1,0.1,1,6,2.7900037821382284e-05,0,1,1,0,12,0,,0,0,1,1,0,0,0,0,0
xustoller-online-video,13,6,-1,0.1,1,7,4.9400026910007e-05,0,1,1,0,12,0,,0,1,0,1,0,0,0,0,0
xustoller-online-video,13,6,-1,0.1,1,8,8.93000396899879e-05,0,1,1,0,3,0,,0,1,0,1,0,0,0,0,0
xustoller-online-video,13,6,-1,0.1,1,9,4.600000102072954e-05,0,1,1,0,4,0,,0,1,0,1,0,0,0,0,0
xustoller-online-video,13,6,-1,0.3,4,0,0.00031289999606087804,0,4,2,0,9,0,,0,3,1,4,0,0,0,0,0
xustoller-online-video,13,6,-1,0.3,4,1,0.0007285000174306333,0,4,3,0,9,0,,0,4,0,4,0,0,0,0,0
xustoller-online-video,13,6,-1,0.3,4,2,0.00045029999455437064,1,2,2,0,9,1,,0,1,1,2,0,0,0,0,0
xustoller-online-video,13,6,-1,0.3,4,3,0.00048809999134391546,1,2,2,0,5,1,,0,2,0,2,0,0,0,0,0
xustoller-online-video,13,6,-1,0.3,4,4,0.00040870002703741193,0,4,3,0,9,0,,0,4,0,4,0,0,0,0,0
xustoller-online-video,13,6,-1,0.3,4,5,0.0002617000136524439,0,4,3,0,9,0,,0,4,0,4,0,0,0,0,0
xustoller-online-video,13,6,-1,0.3,4,6,0.0003063000040128827,0,4,3,0,9,0,,0,3,1,4,0,0,0,0,0
xustoller-online-video,13,6,-1,0.3,4,7,0.0005103999865241349,0,4,3,0,9,0,,0,4,0,4,0,0,0,0,0
xustoller-online-video,13,6,-1,0.3,4,8,0.00044169998727738857,1,2,3,0,9,1,,0,2,0,2,0,0,0,0,0
xustoller-online-video,13,6,-1,0.3,4,9,0.00021949998335912824,0,4,3,0,9,0,,0,4,0,4,0,0,0,0,0
xustoller-online-video,13,6,-1,0.5,6,0,0.0002552000223658979,0,6,2,0,7,0,,0,5,1,6,0,0,0,0,0
xustoller-online-video,13,6,-1,0.5,6,1,0.00025429995730519295,0,6,3,0,7,0,,0,6,0,6,0,0,0,0,0
xustoller-online-video,13,6,-1,0.5,6,2,0.0003130999975837767,1,4,3,0,7,1,,0,3,1,4,0,0,0,0,0
xustoller-online-video,13,6,-1,0.5,6,3,0.0006549000390805304,1,4,3,0,7,1,,0,4,0,4,0,0,0,0,0
xustoller-online-video,13,6,-1,0.5,6,4,0.0006126000080257654,1,4,3,0,7,1,,0,4,0,4,0,0,0,0,0
xustoller-online-video,13,6,-1,0.5,6,5,0.0005102999857626855,0,6,3,0,7,0,,0,6,0,6,0,0,0,0,0
xustoller-online-video,13,6,-1,0.5,6,6,0.0005281000048853457,1,4,3,0,7,1,,0,3,1,4,0,0,0,0,0
xustoller-online-video,13,6,-1,0.5,6,7,0.0006121000042185187,1,4,3,0,7,1,,0,4,0,4,0,0,0,0,0
xustoller-online-video,13,6,-1,0.5,6,8,0.00024480000138282776,1,4,3,0,7,1,,0,3,1,4,0,0,0,0,0
xustoller-online-video,13,6,-1,0.5,6,9,0.00024349999148398638,0,6,3,0,7,0,,0,6,0,6,0,0,0,0,0
xustoller-online-video,13,6,-1,0.7,9,0,0.000444800010882318,1,7,3,0,4,1,,0,7,0,7,0,0,0,0,0
xustoller-online-video,13,6,-1,0.7,9,1,0.0009138000314123929,1,5,3,0,4,1,,0,5,0,5,0,0,0,0,0
xustoller-online-video,13,6,-1,0.7,9,2,0.0009985999786294997,1,7,3,0,4,1,,0,7,0,7,0,0,0,0,0
xustoller-online-video,13,6,-1,0.7,9,3,0.0006968000088818371,1,5,3,0,4,1,,0,5,0,5,0,0,0,0,0
xustoller-online-video,13,6,-1,0.7,9,4,0.0009085999918170273,1,3,3,0,4,1,,0,3,0,3,0,0,0,0,0
xustoller-online-video,13,6,-1,0.7,9,5,0.00041820004116743803,1,4,3,0,4,1,,0,4,0,4,0,0,0,0,0
xustoller-online-video,13,6,-1,0.7,9,6,0.0003499999875202775,1,7,3,0,4,1,,0,7,0,7,0,0,0,0,0
xustoller-online-video,13,6,-1,0.7,9,7,0.00043459999142214656,1,7,3,0,4,1,,0,7,0,7,0,0,0,0,0
xustoller-online-video,13,6,-1,0.7,9,8,0.001401199959218502,2,5,3,0,4,2,,0,5,0,5,0,0,0,0,0
xustoller-online-video,13,6,-1,0.7,9,9,0.0007676999666728079,0,9,3,0,4,0,,0,9,0,9,0,0,0,0,0
xustoller-online-video,13,6,-1,0.9,12,0,0.0005115999956615269,1,8,3,0,1,1,,0,8,0,8,0,0,0,0,0
xustoller-online-video,13,6,-1,0.9,12,1,0.0026181000284850597,2,4,3,0,1,2,,0,4,0,4,0,0,0,0,0
xustoller-online-video,13,6,-1,0.9,12,2,0.0005495999939739704,2,3,3,0,1,2,,0,3,0,3,0,0,0,0,0
xustoller-online-video,13,6,-1,0.9,12,3,0.00042779999785125256,3,1,3,0,1,3,,0,1,0,1,0,0,0,0,0
xustoller-online-video,13,6,-1,0.9,12,4,0.0005464000278152525,3,1,3,0,1,3,,0,1,0,1,0,0,0,0,0
xustoller-online-video,13,6,-1,0.9,12,5,0.00047779997112229466,1,7,3,0,1,1,,0,7,0,7,0,0,0,0,0
xustoller-online-video,13,6,-1,0.9,12,6,0.0008166999905370176,2,4,3,0,1,2,,0,4,0,4,0,0,0,0,0
xustoller-online-video,13,6,-1,0.9,12,7,0.0009401999996043742,1,7,3,0,1,1,,0,7,0,7,0,0,0,0,0
xustoller-online-video,13,6,-1,0.9,12,8,0.0009765999857336283,2,3,3,0,1,2,,0,3,0,3,0,0,0,0,0
xustoller-online-video,13,6,-1,0.9,12,9,0.00039739999920129776,3,1,3,0,1,3,,0,1,0,1,0,0,0,0,0
