dataset,n_resources_total,n_policies_total,n_users_total,shared_fraction,shared_count,trial_seed,phase1_time_s,phase1_policy_count,phase1_undeliverable_count,naive_policy_count,naive_undeliverable_count,naive_leaked_resource_count,exact_cover_size,exact_cover_skipped_reason,greedy_optimality_gap,phase2_conf_allow,phase2_conf_deny,phase2_integ_grant,phase2_integ_compensatory_read,sod_pairs_tested,sod_violations,bod_pairs_tested,bod_unsatisfied
xustoller-project-management,40,11,-1,0.1,4,0,0.003857299976516515,0,4,1,0,28,0,,0,0,4,4,0,21,0,21,21
xustoller-project-management,40,11,-1,0.1,4,1,0.0020818000193685293,0,4,1,0,28,0,,0,0,4,4,0,21,0,21,21
xustoller-project-management,40,11,-1,0.1,4,2,0.002626999979838729,0,4,2,0,32,0,,0,1,3,4,0,21,0,21,21
xustoller-project-management,40,11,-1,0.1,4,3,0.0027528000064194202,0,4,1,0,28,0,,0,0,4,4,0,21,0,21,21
xustoller-project-management,40,11,-1,0.1,4,4,0.0016757000121288002,0,4,1,0,28,0,,0,0,4,4,0,21,0,21,21
xustoller-project-management,40,11,-1,0.1,4,5,0.0012550000101327896,0,4,1,0,28,0,,0,0,4,4,0,21,0,21,21
xustoller-project-management,40,11,-1,0.1,4,6,0.0005660000024363399,0,4,2,0,36,0,,0,1,3,4,0,21,0,21,21
xustoller-project-management,40,11,-1,0.1,4,7,0.0008418000070378184,0,4,2,0,32,0,,0,1,3,4,0,21,0,21,21
xustoller-project-management,40,11,-1,0.1,4,8,0.0009227999835275114,0,4,1,0,28,0,,0,0,4,4,0,21,0,21,21
xustoller-project-management,40,11,-1,0.1,4,9,0.0007961000083014369,0,4,1,0,28,0,,0,0,4,4,0,21,0,21,21
xustoller-project-management,40,11,-1,0.3,12,0,0.0020807000109925866,0,12,3,0,28,0,,0,3,9,12,0,21,0,21,21
xustoller-project-management,40,11,-1,0.3,12,1,0.0017875999910756946,0,12,3,0,28,0,,0,2,10,12,0,21,0,21,21
xustoller-project-management,40,11,-1,0.3,12,2,0.0018737000063993037,0,12,3,0,28,0,,0,2,10,12,0,21,0,21,21
xustoller-project-management,40,11,-1,0.3,12,3,0.0018371999613009393,0,12,2,0,24,0,,0,2,10,12,0,21,0,21,21
