dataset,n_resources_total,n_policies_total,n_users_total,shared_fraction,shared_count,trial_seed,phase1_time_s,phase1_policy_count,phase1_undeliverable_count,naive_policy_count,naive_undeliverable_count,naive_leaked_resource_count,exact_cover_size,exact_cover_skipped_reason,greedy_optimality_gap,phase2_conf_allow,phase2_conf_deny,phase2_integ_grant,phase2_integ_compensatory_read,sod_pairs_tested,sod_violations,bod_pairs_tested,bod_unsatisfied
xustoller-university,34,10,-1,0.1,3,0,0.0006623999797739089,0,3,2,0,19,0,,0,0,3,3,0,30,0,30,30
xustoller-university,34,10,-1,0.1,3,1,0.00042830000165849924,0,3,2,0,15,0,,0,1,2,3,0,30,0,30,30
xustoller-university,34,10,-1,0.1,3,2,0.00046060001477599144,0,3,2,0,15,0,,0,1,2,3,0,30,0,30,30
xustoller-university,34,10,-1,0.1,3,3,0.0005626999773085117,0,3,3,0,21,0,,0,2,1,3,0,30,0,30,30
xustoller-university,34,10,-1,0.1,3,4,0.0005514000076800585,0,3,3,0,21,0,,0,2,1,3,0,30,0,30,30
xustoller-university,34,10,-1,0.1,3,5,0.0005718000466004014,0,3,3,0,19,0,,0,2,1,3,0,30,0,30,30
xustoller-university,34,10,-1,0.1,3,6,0.0006338999955914915,0,3,3,0,25,0,,0,1,2,3,0,30,0,30,30
xustoller-university,34,10,-1,0.1,3,7,0.00038979999953880906,0,3,3,0,25,0,,0,1,2,3,0,30,0,30,30
xustoller-university,34,10,-1,0.1,3,8,0.0003855999675579369,0,3,3,0,19,0,,0,2,1,3,0,30,0,30,30
xustoller-university,34,10,-1,0.1,3,9,0.0003548000240698457,0,3,3,0,19,0,,0,2,1,3,0,30,0,30,30
xustoller-university,34,10,-1,0.3,10,0,0.00102530000731349,0,10,3,0,18,0,,0,3,7,10,0,30,0,30,30
xustoller-university,34,10,-1,0.3,10,1,0.001432000019121915,0,10,4,0,24,0,,0,5,5,10,0,30,0,30,30
xustoller-university,34,10,-1,0.3,10,2,0.0016105000395327806,0,10,3,0,18,0,,0,2,8,10,0,30,0,30,30
xustoller-university,34,10,-1,0.3,10,3,0.002056299999821931,0,10,4,0,24,0,,0,5,5,10,0,30,0,30,30
xustoller-university,34,10,-1,0.3,10,4,0.001830900029744953,0,10,4,0,24,0,,0,4,6,10,0,30,0,30,30
xustoller-university,34,10,-1,0.3,10,5,0.0018685999675653875,0,10,4,0,24,0,,0,4,6,10,0,30,0,30,30
xustoller-university,34,10,-1,0.3,10,6,0.000741399999242276,0,10,4,0,24,0,,0,4,6,10,0,30,0,30,30
xustoller-university,34,10,-1,0.3,10,7,0.0009157000458799303,0,10,4,0,24,0,,0,2,8,10,0,30,0,30,30
